Suite ID	Tool IDs	Tool output formats	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on MBAC Metabiome Portal	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on GASLINI	Number of tools on HyPhy HIV NGS Tools	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on IPK Galaxy Blast Suite	Number of tools on Mandoiu Lab	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on PhagePromotor	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials	To keep	Deprecated
samtools_depth	samtools_depth	tabular	Coverage depth via samtools	2014-11-19	http://www.htslib.org/	0.0.3	samtools	1.23.1	To update	Assembly, Sequence Analysis, SAM					peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/samtools_depth	https://github.com/peterjc/pico_galaxy/tree/master/tools/samtools_depth					1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1071	1130	8403	9175	1771	1964	11692	12814	99	99	761	761	77	77	151	151	22901	21007	3270	3018	https://usegalaxy.eu/published/workflow?id=09c7069ae409c362, https://usegalaxy.eu/published/workflow?id=4a764275d4bf9f31, https://usegalaxy.eu/published/workflow?id=60e0b2a28a900178, https://usegalaxy.eu/published/workflow?id=61fe08fb3d5e83f8, https://usegalaxy.eu/published/workflow?id=64abcddeb516a712, https://usegalaxy.eu/published/workflow?id=6aa2891bd2b41f32, https://usegalaxy.eu/published/workflow?id=cdf2f02428f5f83f, https://usegalaxy.eu/published/workflow?id=d215a2e554fd83bc, https://usegalaxy.eu/published/workflow?id=d88145e7475e0b7b, https://usegalaxy.eu/published/workflow?id=fc0b9efa7d2e61e6, https://usegalaxy.org.au/published/workflow?id=0e11619979c2830c, https://usegalaxy.org.au/published/workflow?id=244ea5e94237ebad, https://usegalaxy.org.au/published/workflow?id=38f57cffaeb0e39f, https://usegalaxy.org.au/published/workflow?id=76a0a3af8de11622, https://usegalaxy.org.au/published/workflow?id=857e482acfcb2dba, https://usegalaxy.org/published/workflow?id=06d6dcd2655592af, https://usegalaxy.org/published/workflow?id=10ac77144ced73ad, https://usegalaxy.org/published/workflow?id=18899840e49d89c3, https://usegalaxy.org/published/workflow?id=29ba77708cdafe0f, https://usegalaxy.org/published/workflow?id=2a0e8cd16fb21fa1, https://usegalaxy.org/published/workflow?id=2ded909e7e3a9962, https://usegalaxy.org/published/workflow?id=357d644e99be5e13, https://usegalaxy.org/published/workflow?id=38911ba6f66d80f6, https://usegalaxy.org/published/workflow?id=3e703abaeb870f6f, https://usegalaxy.org/published/workflow?id=3f2d1003ff959c7c, https://usegalaxy.org/published/workflow?id=3ffb59671b58d5ce, https://usegalaxy.org/published/workflow?id=44b5161868a34561, https://usegalaxy.org/published/workflow?id=6d778eeb176d563c, https://usegalaxy.org/published/workflow?id=71f8a4090877f171, https://usegalaxy.org/published/workflow?id=84dfa09b472ed3f2, https://usegalaxy.org/published/workflow?id=8b4572ac274176c0, https://usegalaxy.org/published/workflow?id=8daa91d54040ba95, https://usegalaxy.org/published/workflow?id=b561d3d9645a2726, https://usegalaxy.org/published/workflow?id=c4af6c5f5dfaae82, https://usegalaxy.org/published/workflow?id=cb810cdaa4915f4b, https://usegalaxy.org/published/workflow?id=e215018e24b84197, https://usegalaxy.org/published/workflow?id=efb62e8178ecdcaf, https://usegalaxy.org/published/workflow?id=f3ed710e251833a7, https://usegalaxy.org/published/workflow?id=fcd98ca3abcf6c61, https://workflowhub.eu/workflows/1063?version=5, https://workflowhub.eu/workflows/1479?version=1, https://workflowhub.eu/workflows/1738?version=1, https://workflowhub.eu/workflows/1739?version=1, https://workflowhub.eu/workflows/1740?version=1, https://workflowhub.eu/workflows/1741?version=1, https://workflowhub.eu/workflows/2036?version=1, https://workflowhub.eu/workflows/2038?version=1	microbiome/pathogen-detection-from-nanopore-foodborne-data	True	False
sdmpredictors	sdmpredictors_list_layers		Terrestrial and marine predictors for species distribution modelling.	2024-03-29	https://cran.r-project.org/web/packages/sdmpredictors/index.html	0.2.15	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/sdmpredictors	https://github.com/galaxyecology/tools-ecology/tree/master/tools/sdmpredictors					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	10	10	0	0	0	0	0	0	0	0	0	0	0	0	10	10	4	4			True	False
seq_primer_clip	seq_primer_clip		Trim off 5' or 3' primers	2013-09-26	https://github.com/peterjc/pico_galaxy/tree/master/tools/seq_primer_clip	0.0.18	galaxy_sequence_utils	1.2.0	To update	Assembly, Fasta Manipulation, Text Manipulation					peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/seq_primer_clip	https://github.com/peterjc/pico_galaxy/tree/master/tools/seq_primer_clip					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			True	False
spocc_occ	spocc_occ	tabular	Get species occurences data	2019-05-23	https://cran.r-project.org/web/packages/spocc/index.html	1.2.2			To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/spocc	https://github.com/galaxyecology/tools-ecology/tree/master/tools/spocc					0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	123	146	706	976	0	0	0	0	0	0	0	0	12	12	28	28	1004	734	158	135	https://usegalaxy.eu/published/workflow?id=3b0803542deff026, https://usegalaxy.eu/published/workflow?id=b0b6c8756070650b, https://workflowhub.eu/workflows/1670?version=1, https://workflowhub.eu/workflows/1687?version=1, https://workflowhub.eu/workflows/404?version=1	climate/earth_system, ecology/gbif_cleaning, ecology/species-distribution-modeling	True	False
srs_tools	srs_diversity_maps, srs_global_indices, srs_process_data, srs_spectral_indices, srs_pca, srs_preprocess_s2, srs_metadata	tabular, csv, zip, txt	Compute biodiversity indicators for remote sensing data from Sentinel 2	2022-11-16		0.0.1	r-base		To update	Ecology					ecology	https://github.com/Marie59/Sentinel_2A/srs_tools	https://github.com/galaxyecology/tools-ecology/tree/master/tools/srs_tools					4	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	8	8	274	274	5	5	48	48	0	0	0	0	3	3	22	22	344	344	16	16	https://usegalaxy.eu/published/workflow?id=1d2cd0af01a30a46, https://usegalaxy.eu/published/workflow?id=da88448ab15d167d, https://workflowhub.eu/workflows/1669?version=2, https://workflowhub.eu/workflows/657?version=1	ecology/remote-sensing	True	False
stoceps	stoceps_filteringsp, stoceps_glm, stoceps_glm_group, stoceps_maketablecarrer, stoceps_trend_indic	tabular, png	Tools to analyse STOC data.	2019-09-26		0.0.2			To update	Ecology					ecology	https://github.com/Alanamosse/Galaxy-E/tree/stoctool/tools/stoc	https://github.com/galaxyecology/tools-ecology/tree/master/tools/stoc					0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	24	26	180	354	0	0	0	0	0	0	0	0	0	0	0	0	354	180	26	24	https://usegalaxy.eu/published/workflow?id=01274dfdbdfcaa88		True	False
t2t_report	t2t_report	tabular	Summarize taxonomy	2014-01-27	https://bitbucket.org/natefoo/taxonomy	1.0.0	taxonomy	0.10.5	To update	Metagenomics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tool_collections/taxonomy/t2t_report	https://github.com/galaxyproject/tools-devteam/tree/main/tool_collections/taxonomy/t2t_report					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	55	82	745	1071	16	1143	118	7194	0	0	0	0	0	0	0	0	8265	863	1225	71	https://usegalaxy.org/published/workflow?id=19c9c8cc3c813bda, https://usegalaxy.org/published/workflow?id=2f7638035fb889ac, https://usegalaxy.org/published/workflow?id=55aa743125c2465d, https://usegalaxy.org/published/workflow?id=59347cc210c4cdbc, https://usegalaxy.org/published/workflow?id=7b67ffcf1b7c2232, https://usegalaxy.org/published/workflow?id=85d825931edf4a64, https://usegalaxy.org/published/workflow?id=896d29573ea3e574, https://usegalaxy.org/published/workflow?id=d851f8436497dd1c		True	False
terrabyte_ogc_api_processes	terrabyte_ogc_api_processes	txt	This tool is a wrapper for OGC API Processes (OTB) coming from terrabyte (https://docs.terrabyte.lrz.de/).	2024-11-11	https://github.com/AquaINFRA/galaxy	0.1.0	r-base		To update	Ecology					ecology	https://github.com/AquaINFRA/tools-ecology/tree/terrabyte_ogc_api_process	https://github.com/galaxyecology/tools-ecology/tree/master/tools/terrabyte_ogc_api_processes					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12	12	0	0	0	0	0	0	0	0	0	0	0	0	12	12	2	2			True	False
tgsgapcloser	tgsgapcloser	txt, fasta	TGS-GapCloser uses error-prone long reads or preassembled contigs to fill N-gap in the genome assembly.	2021-11-14	https://github.com/BGI-Qingdao/TGS-GapCloser	1.0.3	tgsgapcloser	1.2.1	To update	Assembly	Genome assembly, Read mapping, Scaffolding, Localised reassembly	Genome assembly, Read mapping, Scaffolding, Localised reassembly	Sequencing, Sequence assembly, Phylogeny, Transcription factors and regulatory sites, Mapping	Sequencing, Sequence assembly, Phylogeny, Transcription factors and regulatory sites, Mapping	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/tgsgapcloser	https://github.com/bgruening/galaxytools/tree/master/tools/tgsgapcloser	TGS-GapCloser	TGS-GapCloser	TGS-GapCloser is a fast and accurately passing through the Bermuda in large genome using error-prone third-generation long reads.		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	67	67	587	587	0	0	0	0	0	0	0	0	0	0	0	0	587	587	67	67			True	False
vigiechiro	vigiechiro_bilanenrichipf, vigiechiro_bilanenrichirp, vigiechiro_idcorrect_2ndlayer, vigiechiro_idvalid	tabular, html	Tools created by the vigiechiro team to analyses and identify chiro sounds files.	2019-03-13	https://www.vigienature-ecole.fr/les-observatoires/le-protocole-vigie-chiro	0.1.1			To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/vigiechiro	https://github.com/galaxyecology/tools-ecology/tree/master/tools/vigiechiro					0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	258	284	14141	17115	0	0	0	0	0	0	0	0	0	0	0	0	17115	14141	284	258	https://usegalaxy.eu/published/workflow?id=596b073ab7249aa2, https://usegalaxy.eu/published/workflow?id=c0888e0a0fb53ed3		True	False
wtdbg	wtdbg	fasta	WTDBG is a fuzzy Bruijn graph (FBG) approach to long noisy reads assembly.	2018-06-12	https://github.com/ruanjue/wtdbg2	2.5	wtdbg	2.5	Up-to-date	Assembly	Genome assembly, De-novo assembly	Genome assembly, De-novo assembly	Sequence assembly, Sequencing	Sequence assembly, Sequencing	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/wtdbg	https://github.com/bgruening/galaxytools/tree/master/tools/wtdbg	wtdbg2	wtdbg2	Wtdbg2 is a de novo sequence assembler for long noisy reads produced by PacBio or Oxford Nanopore Technologies (ONT). It assembles raw reads without error correction and then builds the consensus from intermediate assembly output. Wtdbg2 is able to assemble the human and even the 32Gb Axolotl genome at a speed tens of times faster than CANU and FALCON while producing contigs of comparable base accuracy.		0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	366	451	1313	1904	0	0	0	0	0	0	0	0	28	28	145	145	2049	1458	479	394			True	False
zoo_project_ogc_api_processes	zoo_project_ogc_api_processes	txt	This tool is a wrapper for OGC API Processes (OTB) coming from the Zoo Project (https://zoo-project.github.io/docs/intro.html) and was created using the OGC-API-Process2Galaxy tool (https://github.com/AquaINFRA/OGC-API-Process2Galaxy). Check the README in the repository for more information.	2024-05-03	https://github.com/AquaINFRA/galaxy	0.1.0	r-base		To update	Ecology					ecology	https://github.com/galaxyecology/tools-ecology/tree/master/tools/ogc_api_processes_wrapper	https://github.com/galaxyecology/tools-ecology/tree/master/tools/zoo_project_ogc_api_processes					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	28	28	0	0	0	0	0	0	0	0	0	0	0	0	28	28	5	5	https://usegalaxy.eu/published/workflow?id=e95bfab07fdec632		True	False
