Title	Year	Journal	Targeted organisms	Technical target	Methods	Topics
Flavobacterium johnsoniae Tyrosine Ammonia Lyase (FjTAL) in-silico Structure Prediction and Molecular Docking to L-Tyrosine, p-Coumaric Acid (pHCA) and Caffeic Acid	2022	bioRxiv	Bacteria			
The First Mitochondrial Genome of Ciborinia camelliae and Its Position in the Sclerotiniaceae Family	2022	Frontiers in Fungal Biology	Pathogen	MAGs	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
An ancient endogenous DNA virus in the human genome	2022	bioRxiv	Virus, Eukaryote	Community (taxonomy) profiling, Interactome, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Assembly and Annotation of Escherichia coli Bacteriophage U115	2022	Microbiology Resource Announcements	Bacteria, Virus	MAGs, Annotation	(Meta)genomics	
Importance of rigidity of ice-binding protein (FfIBP) for hyperthermal hysteresis activity and microbial survival.	2022	International journal of biological macromolecules				
Clinical Metagenomics Is Increasingly Accurate and Affordable to Detect Enteric Bacterial Pathogens in Stool	2022	Microorganisms	Bacteria, Microbiome, Pathogen		(Meta)genomics, Metagenomics	Health & Disease
Small investments with big returns: environmental genomic bioprospecting of microbial life	2022	Critical Reviews in Microbiology	Microbiome	Community (taxonomy) profiling, Functional analysis, MAGs	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Glia of C. elegans coordinate the heat shock response independent of the neuronal thermosensory circuit and serotonin	2022	bioRxiv	Pathogen	Functional analysis, AMR		Health & Disease
Characterization of the Cellular Microenvironment and Novel Specific Biomarkers in Pterygia Using RNA Sequencing	2022	Frontiers in Medicine	Virus	Gene identification / Biomarker		Ecosystem Dynamics & Biodiversity, Health & Disease
Directed Evolution of Replication-Competent Double-Stranded DNA Bacteriophage toward New Host Specificity.	2022	ACS synthetic biology	Bacteria, Virus	AMR, Variant		Ecosystem Dynamics & Biodiversity, Health & Disease
Phylogenomic Analysis of the Phylum Nematoda: Conflicts and Congruences With Morphology, 18S rRNA, and Mitogenomes	2022				Metabarcoding, (Meta)genomics, (Meta)transcriptomics	Ecosystem Dynamics & Biodiversity
Genome Sequence of Bacillus velezensis P1, a Strain Isolated from a Biofilm Captured on a Pig Farm Building	2022	Microbiology Resource Announcements	Bacteria	Isolate	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Human Beta Defensin 2 Ameliorated Alcohol-Associated Liver Disease in Mice	2022	Frontiers in Physiology	Bacteria, Microbiome			Health & Disease
Transcriptomics and Functional Analysis of Copper Stress Response in the Sulfate-Reducing Bacterium Desulfovibrio alaskensis G20	2022	International Journal of Molecular Sciences	Bacteria	Functional analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Presence of periodontal pathogenic bacteria in blood of patients with coronary artery disease	2022	Scientific Reports	Bacteria, Pathogen		(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
A chromosomal loop anchor mediates bacterial genome organization	2022	Nature Genetics	Bacteria		(Meta)genomics	
Analysis of non-coding RNAs in Methylorubrum extorquens reveals a novel small RNA specific to Methylobacteriaceae	2022	bioRxiv	Bacteria	Functional analysis, Interactome	(Meta)genomics	
Transcriptional Organization of the Salmonella Typhimurium Phage P22 pid ORFan Locus	2022	International Journal of Molecular Sciences	Virus	Interactome		Ecosystem Dynamics & Biodiversity
Mucoid Coating Provides a Growth Advantage to Pseudomonas aeruginosa at Oil-Water Interfaces.	2022	ACS applied bio materials	Bacteria, Pathogen	Isolate, AMR	Imaging	Ecosystem Dynamics & Biodiversity, Health & Disease
The two-component system ChvGI maintains cell envelope homeostasis in Caulobacter crescentus	2022	PLOS Genetics	Bacteria, Pathogen	MAGs		Ecosystem Dynamics & Biodiversity, Health & Disease
Cannabidiol inhibits SARS-CoV-2 replication through induction of the host ER stress and innate immune responses	2022	Science Advances	Virus		Metabolomics	Health & Disease
Combination of pre-adapted bacteriophage therapy and antibiotics for treatment of fracture-related infection due to pandrug-resistant Klebsiella pneumoniae	2022	Nature Communications	Bacteria, Virus	AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
eDNA profiling of mammals, birds, and fish of surface waters by mitochondrial metagenomics: application for source tracking of fecal contamination in surface waters	2022	Environmental Monitoring and Assessment			(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Saccharomyces boulardii CNCM I‐745 supplementation modifies the fecal resistome during Helicobacter pylori eradication therapy	2022	Helicobacter	Bacteria, Microbiome	AMR		Health & Disease
Comparative plant transcriptome profiling of Arabidopsis and Camelina infested with Myzus persicae aphids acquiring circulative and non-circulative viruses reveals virus- and plant-specific alterations relevant to aphid feeding behavior and transmission	2022	bioRxiv	Virus	Interactome, Comparative analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Regulation of fatty acid desaturase- and immunity gene-expression by mbk-1/DYRK1A in Caenorhabditis elegans	2022	BMC Genomics	Pathogen	Functional analysis, AMR	(Meta)transcriptomics	Health & Disease
Comparative genomics of the black rot pathogen Xanthomonas campestris pv. campestris and non-pathogenic co-inhabitant Xanthomonas melonis from Trinidad reveal unique pathogenicity determinants and secretion system profiles	2022	PeerJ	Bacteria, Pathogen	Isolate, AMR, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Horizontal and vertical distribution of Gambierdiscus spp. (Dinophyceae) including novel phylotypes in Japan identified by 18S rDNA metabarcoding.	2022	Harmful algae			Metabarcoding	
SARS-CoV-2 Reverse Zoonoses to Pumas and Lions, South Africa	2022	Viruses	Virus, Pathogen	Variant	(Meta)genomics	Health & Disease
Inulin Improves Diet-Induced Hepatic Steatosis and Increases Intestinal Akkermansia Genus Level	2022	International Journal of Molecular Sciences	Microbiome		Metabarcoding	Health & Disease
Phylogenetic analysis of SARS-CoV-2 viruses circulating in the South American region: Genetic relations and vaccine strain match	2022	Virus Research	Virus			Ecosystem Dynamics & Biodiversity
The effect of substituting energy crop with agricultural waste on the dynamics of bacterial communities in a two-stage anaerobic digester.	2022	Chemosphere	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
GOLT1B Activation in Hepatitis C Virus-Infected Hepatocytes Links ER Trafficking and Viral Replication	2021	Pathogens	Virus			Health & Disease
Gut mucus layer degradation is associated with aggressive cervical cancer phenotype	2021		Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Riparian Cottonwood Trees and Adjacent River Sediments Have Different Microbial Communities and Produce Methane With Contrasting Carbon Isotope Compositions	2021	Journal of Geophysical Research: Biogeosciences	Bacteria, Microbiome	Community (taxonomy) profiling		Ecosystem Dynamics & Biodiversity
Evaluation of Changes to the Oral Microbiome Based on 16S rRNA Sequencing among Children Treated for Cancer	2021	Cancers	Bacteria, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Comparative genomics of Acinetobacter baumannii and therapeutic bacteriophages from a patient undergoing phage therapy	2021	Nature Communications	Bacteria, Virus	Isolate, AMR, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Patchy Distributions and Distinct Niche Partitioning of Mycoplankton Populations across a Nearshore to Open Ocean Gradient	2021	Microbiology Spectrum	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding	Ecosystem Dynamics & Biodiversity
First Comparative Analysis of Clostridium septicum Genomes Provides Insights Into the Taxonomy, Species Genetic Diversity, and Virulence Related to Gas Gangrene	2021	Frontiers in Microbiology	Bacteria, Virus, Pathogen	Community (taxonomy) profiling, SNP, Comparative analysis	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Functional analysis of a Phytophthora host-translocated effector using the yeast model system	2021	PeerJ	Eukaryote, Pathogen	Functional analysis	(Meta)genomics, (Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Strengths and caveats of identifying resistance genes from whole genome sequencing data	2021	Expert Review of Anti-infective Therapy	Pathogen	AMR, MAGs	(Meta)genomics	Health & Disease
VectorBase.org updates: bioinformatic resources for invertebrate vectors of human pathogens and related organisms	2021	Current opinion in insect science	Pathogen			Health & Disease
ECTyper: in silico Escherichia coli serotype and species prediction from raw and assembled whole-genome sequence data	2021	Microbial Genomics	Pathogen	Isolate	(Meta)genomics	Health & Disease
Time-Resolved Analysis of N-RNA Interactions during RVFV Infection Shows Qualitative and Quantitative Shifts in RNA Encapsidation and Packaging	2021	Viruses	Virus	Interactome	(Meta)proteomics	Health & Disease
Transcriptome Analysis Reveals Dynamic Cultivar-Dependent Patterns of Gene Expression in Potato Spindle Tuber Viroid-Infected Pepper	2021	Plants	Pathogen	Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Reprogramming of RNA silencing triggered by cucumber mosaic virus infection in Arabidopsis	2021	Genome Biology	Virus	Interactome, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Complete genome sequencing of SARS-CoV-2 strains: A pilot survey in Palestine reveals spike mutation H245N	2021	BMC Research Notes	Virus	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Different response of Acipenser gueldenstaedtii CRP/SAP and SAA to bacterial challenge and chronic thermal stress sheds light on the innate immune system of sturgeons.	2021	Fish & shellfish immunology	Bacteria			Health & Disease
Active and Covert Infections of Cricket Iridovirus and Acheta domesticus Densovirus in Reared Gryllodes sigillatus Crickets	2021	Frontiers in Microbiology	Virus, Pathogen		(Meta)genomics, Metagenomics	Health & Disease
High endogenous CCL2 expression promotes the aggressive phenotype of human inflammatory breast cancer	2021	Nature Communications	Virus		(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Directed evolution of colE1 plasmid replication compatibility: a fast tractable tunable model for investigating biological orthogonality	2021	Nucleic Acids Research	Bacteria	Community (taxonomy) profiling, Interactome		Ecosystem Dynamics & Biodiversity
Metataxonomic Analysis of Bacteria Entrapped in a Stalactite’s Core and Their Possible Environmental Origins	2021	Microorganisms	Bacteria, Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity
Seasonal diets supersede host species in shaping the distal gut microbiota of Yaks and Tibetan sheep	2021	Scientific Reports	Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Small RNA Profiling of Susceptible and Resistant Ty-1 Encoding Tomato Plants Upon Tomato Yellow Leaf Curl Virus Infection	2021	Frontiers in Plant Science	Virus	Isolate, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Phylogenetic Distribution of csp1 Types in Aspergillus fumigatus and Their Correlates to Azole Antifungal Drug Resistance	2021	Microbiology Spectrum	Pathogen	Isolate, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Dual-Transcriptomic, Microscopic, and Biocontrol Analyses of the Interaction Between the Bioeffector Pythium oligandrum and the Pythium Soft-Rot of Ginger Pathogen Pythium myriotylum	2021	Frontiers in Microbiology	Pathogen	Isolate, Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The Nerve Growth Factor IB-like Receptor Nurr1 (NR4A2) Recruits CoREST Transcription Repressor Complexes to Silence HIV Following Proviral Reactivation in Microglial Cells	2021	bioRxiv	Virus	Functional analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Genome In Silico and In Vitro Analysis of the Probiotic Properties of a Bacterial Endophyte, Bacillus Paranthracis Strain MHSD3	2021	Frontiers in Genetics	Bacteria	Isolate, AMR	(Meta)genomics, (Meta)proteomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
A revised view on the evolution of glutamine synthetase isoenzymes in plants	2021	The Plant Journal	Bacteria, Eukaryote	Functional analysis		Ecosystem Dynamics & Biodiversity
TRIM24 controls induction of latent HIV-1 by stimulating transcriptional elongation	2021	Communications Biology	Virus	Interactome	(Meta)genomics	Health & Disease
Poorly Conserved P15 Proteins of Cileviruses Retain Elements of Common Ancestry and Putative Functionality: A Theoretical Assessment on the Evolution of Cilevirus Genomes	2021	Frontiers in Plant Science	Virus	Functional analysis, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity
TRIM67 drives tumorigenesis in oligodendrogliomas through Rho GTPase-dependent membrane blebbing	2021	bioRxiv	Pathogen	Functional analysis	(Meta)genomics, (Meta)proteomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Isolation and Characterization of a Novel Temperate Escherichia coli Bacteriophage, Kapi1, Which Modifies the O-Antigen and Contributes to the Competitiveness of Its Host during Colonization of the Murine Gastrointestinal Tract	2021	mBio	Bacteria, Virus, Microbiome	Isolate, Community (taxonomy) profiling, Interactome, AMR, Annotation	(Meta)genomics	Health & Disease
Development of Stable Mixed Microbiota for High Yield Power to Methane Conversion	2021	Energies	Microbiome	Community (taxonomy) profiling	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity
Microbial Transformation of Chlordecone and Two Transformation Products Formed During in situ Chemical Reduction	2021	Frontiers in Microbiology	Bacteria, Archaea, Microbiome	Community (taxonomy) profiling	Metabarcoding, (Meta)proteomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The chitinolytic activity of the Curtobacterium sp. isolated from field-grown soybean and analysis of its genome sequence	2021	PLoS ONE	Bacteria	Isolate, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Interactions of the Intracellular Bacterium Cardinium with Its Host, the House Dust Mite Dermatophagoides farinae, Based on Gene Expression Data	2021	mSystems	Bacteria, Microbiome	Interactome		Health & Disease
Co-culturing Hyphomicrobium nitrativorans strain NL23 and Methylophaga nitratireducenticrescens strain JAM1 allows sustainable denitrifying activities under marine conditions	2021	PeerJ	Bacteria		(Meta)proteomics	Ecosystem Dynamics & Biodiversity
Characterisation of the enzyme transport path between shipworms and their bacterial symbionts	2021	BMC Biology	Bacteria	Interactome	(Meta)transcriptomics, (Meta)proteomics	Ecosystem Dynamics & Biodiversity
BioF is a novel B2 metallo-β-lactamase from Pseudomonas sp. isolated from an on-farm biopurification system.	2021	Environmental microbiology	Bacteria, Microbiome	Isolate, Functional analysis, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
The Transcription Factor FEZF1, a Direct Target of EWSR1-FLI1 in Ewing Sarcoma Cells, Regulates the Expression of Neural-Specific Genes	2021	Cancers	Pathogen	Functional analysis	(Meta)transcriptomics	Health & Disease
TNF-α-producing macrophages determine subtype identity and prognosis via AP1 enhancer reprogramming in pancreatic cancer	2021	Nature Cancer	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
Evaluation of whole-genome sequencing-based subtyping methods for the surveillance of Shigella spp. and the confounding effect of mobile genetic elements in long-term outbreaks	2021	Microbial Genomics	Virus, Pathogen	Isolate, (M)LST, Variant	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Intestinal GCN2 controls Drosophila systemic growth in response to Lactiplantibacillus plantarum symbiotic cues encoded by r/tRNA operons	2021	eLife	Bacteria	Functional analysis, Interactome	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity
Fibropapillomatosis and Chelonid Alphaherpesvirus 5 Infection in Kemp’s Ridley Sea Turtles (Lepidochelys kempii)	2021	Animals : an Open Access Journal from MDPI	Virus, Pathogen	Variant	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Identification of a canine coronavirus in Australian racing Greyhounds	2021	Journal of Veterinary Diagnostic Investigation	Virus, Pathogen		(Meta)genomics	Health & Disease
Colonic Medium-Chain Fatty Acids Act as a Source of Energy and for Colon Maintenance but Are Not Utilized to Acylate Ghrelin	2021	Nutrients	Microbiome			Health & Disease
Agrococcus massiliensis sp. nov., a Novel Bacterial Species Isolated from Human Healthy Skin	2021		Bacteria	Isolate	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Spatial Variation of Cladophora Epiphytes in the Nan River, Thailand	2021	Plants	Bacteria, Eukaryote, Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding	Ecosystem Dynamics & Biodiversity
Escherichia coli ribosomal protein S1 enhances the kinetics of ribosome biogenesis and RNA decay	2021	bioRxiv		Functional analysis	Metabarcoding	
Diversity and composition of macroinvertebrate communities in a rare inland salt marsh	2021	Ecology and Evolution	Microbiome	Community (taxonomy) profiling	Metabarcoding	Ecosystem Dynamics & Biodiversity
The impact of the Th17:Treg axis on the IgA-Biome across the glycemic spectrum	2021	PLoS ONE	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
Selective Logging Shows No Impact on the Dietary Breadth of a Generalist Bat Species: The Fawn Leaf-Nosed Bat (Hipposideros cervinus)	2021		Microbiome	Community (taxonomy) profiling, Interactome	Metabarcoding	Ecosystem Dynamics & Biodiversity
Genome features and antibiotic resistance of Pseudomonas aeruginosa strains isolated in patients with cystic fibrosis in the Russian Federation.	2021	Klinicheskaia laboratornaia diagnostika		Isolate, Community (taxonomy) profiling, AMR, (M)LST	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Oxidative stress induces inflammation of lens cells and triggers immune surveillance of ocular tissues	2021	bioRxiv	Virus			Ecosystem Dynamics & Biodiversity, Health & Disease
The Transcription Factor FRA-1/AP-1 Controls Lipocalin-2 Expression and Inflammation in Sepsis Model	2021	Frontiers in Immunology	Virus	Functional analysis		Ecosystem Dynamics & Biodiversity, Health & Disease
Adaptation to Endophytic Lifestyle Through Genome Reduction by Kitasatospora sp. SUK42	2021	Frontiers in Bioengineering and Biotechnology	Bacteria		(Meta)genomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species	2021	Frontiers in Microbiology	Bacteria	AMR, Comparative analysis	(Meta)genomics, Metabolomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Cross-Talk Between Intestinal Microbiota and Host Gene Expression in Gilthead Sea Bream (Sparus aurata) Juveniles: Insights in Fish Feeds for Increased Circularity and Resource Utilization	2021	Frontiers in Physiology	Bacteria, Microbiome	Community (taxonomy) profiling	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Lung microbiome of stable and exacerbated COPD patients in Tshwane, South Africa	2021	Scientific Reports	Bacteria, Virus, Microbiome	Community (taxonomy) profiling	(Meta)genomics, Metagenomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Complete Genome Sequence of Achromobacter Strain ES-001, a Betaproteobacterium Associated with a Cellulolytic Soil Community	2021	Microbiology Resource Announcements	Bacteria, Microbiome	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity
Heparan sulfate proteoglycans serve as alternative receptors for low affinity LCMV variants	2021	PLoS Pathogens	Virus	Variant	(Meta)genomics	Health & Disease
Molecular Characterization and Taxonomic Assignment of Three Phage Isolates from a Collection Infecting Pseudomonas syringae pv. actinidiae and P. syringae pv. phaseolicola from Northern Italy	2021	Viruses	Bacteria, Virus	Isolate, Community (taxonomy) profiling, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Phylogenetic systematics of Butyrivibrio and Pseudobutyrivibrio genomes illustrate vast taxonomic diversity, open genomes and an abundance of carbohydrate-active enzyme family isoforms	2021	Microbial Genomics	Bacteria, Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity
Metavirome Survey of Eight Ray-Finned Fishes Revealed Domination of Giant Viral Members of Pandoravirus and Megaviricetes	2021		Virus	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Acetobacter garciniae sp. nov., an acetic acid bacterium isolated from fermented mangosteen peel in Thailand.	2021	International journal of systematic and evolutionary microbiology	Bacteria	Isolate	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity
Natural Horizontal Gene Transfer of Antimicrobial Resistance Genes in Campylobacter spp. From Turkeys and Swine	2021	Frontiers in Microbiology	Bacteria	Functional analysis, AMR	(Meta)genomics	Health & Disease
The value of bacterial metagenomic analysis in post-surgical examination of gallstones	2021	Archives of Microbiology	Bacteria, Microbiome, Pathogen		Metabarcoding, (Meta)genomics, Metagenomics	Health & Disease
Identifying The “Core” Transcriptome of SARS-CoV-2 Infected Cells	2021	bioRxiv	Virus		(Meta)transcriptomics	Health & Disease
DNA metabarcoding using nrITS2 provides highly qualitative and quantitative results for airborne pollen monitoring	2021	The Science of the Total Environment			Metabarcoding	
Biological and molecular characterization of two closely related carlaviruses affecting brassica plants	2021	Plant Pathology	Virus			Ecosystem Dynamics & Biodiversity
Virus infection modulates male sexual behaviour in Caenorhabditis elegans	2021	Molecular Ecology	Virus, Pathogen	AMR		Health & Disease
A CURE for Salmonella: A Laboratory Course in Pathogen Microbiology and Genomics	2021	CourseSource	Bacteria, Pathogen	Isolate, AMR, MAGs, Annotation, Comparative analysis	(Meta)genomics	Health & Disease
Shifts in Soil Structure, Biological, and Functional Diversity Under Long-Term Carbon Deprivation	2021	Frontiers in Microbiology	Microbiome	Community (taxonomy) profiling, Functional analysis	Metabarcoding, Imaging	Ecosystem Dynamics & Biodiversity
Differential perturbations of gut microbial profiles and co‐occurrence networks among phases of methamphetamine‐induced conditioned place preference	2021	Journal of Neuroscience Research	Microbiome	Functional analysis, Interactome	Metabarcoding	Health & Disease
Estimating movement rates between Eurasian and North American birds that are vectors of avian influenza (AI)	2021	bioRxiv	Virus		(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Identifying potential natural inhibitors of Brucella melitensis Methionyl-tRNA synthetase through an in-silico approach	2021	PLoS Neglected Tropical Diseases	Bacteria	Interactome, AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Occurrence of Colibacillosis in Broilers and Its Relationship With Avian Pathogenic Escherichia coli (APEC) Population Structure and Molecular Characteristics	2021	Frontiers in Veterinary Science	Pathogen	Isolate, Community (taxonomy) profiling, AMR	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Koala retrovirus genetic diversity and transmission dynamics within captive koala populations	2021	Proceedings of the National Academy of Sciences	Virus, Pathogen	Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Ancient viral integrations in marsupials: a potential antiviral defence	2021	Virus Evolution	Virus		(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Assembly and Annotation of the Complete Genome Sequence of T4-Like Bacteriophage 132	2021	Microbiology Resource Announcements	Bacteria, Virus	MAGs, Annotation	(Meta)genomics	
Eikenella glucosivorans sp. nov., isolated from a human throat swab, and emendation of the genus Eikenella to include saccharolytic species.	2021	International journal of systematic and evolutionary microbiology	Bacteria	Isolate	Metabarcoding, (Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Redox-mediated inactivation of the transcriptional repressor C3600 makes uropathogenic Escherichia coli exquisitely resistant to reactive chlorine species	2021	bioRxiv	Bacteria, Pathogen	AMR	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Differential Expression of Long Non-Coding RNA (lncRNA) in Mediterranean Mussel (Mytilus galloprovincialis) Hemocytes under Immune Stimuli	2021	Genes	Pathogen	AMR	(Meta)genomics, (Meta)transcriptomics	Health & Disease
Mitochondrial dysfunction compromises ciliary homeostasis in astrocytes	2021	The Journal of Cell Biology	Pathogen	Functional analysis		Ecosystem Dynamics & Biodiversity, Health & Disease
Genome Sequencing and Comparative Genomics of Indian Isolates of Brucella melitensis	2021	Frontiers in Microbiology	Pathogen	Isolate, SNP, (M)LST, Comparative analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Su(Hw) primes 66D and 7F Drosophila chorion genes loci for amplification through chromatin decondensation	2021	Scientific Reports		Functional analysis	Metabarcoding, (Meta)genomics	
Large-scale quality assessment of prokaryotic genomes with metashot/prok-quality	2021	F1000Research	Bacteria, Archaea	MAGs	(Meta)genomics, Metagenomics	
CO2 enhances the formation, nutrient scavenging and drug resistance properties of C. albicans biofilms	2021	NPJ Biofilms and Microbiomes	Pathogen	AMR		Ecosystem Dynamics & Biodiversity, Health & Disease
Development, Phenotypic Characterization and Genomic Analysis of a Francisella tularensis Panel for Tularemia Vaccine Testing	2021	Frontiers in Microbiology	Pathogen	Isolate, Community (taxonomy) profiling	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Evolution towards Virulence in a Burkholderia Two-Component System	2021	mBio	Bacteria, Virus, Pathogen	AMR, Variant		Ecosystem Dynamics & Biodiversity, Health & Disease
Revisiting the dengue epidemic of 2011 in Paraguay: molecular epidemiology of dengue virus in the Asuncion metropolitan area	2021	BMC Infectious Diseases	Virus, Pathogen	Isolate		Ecosystem Dynamics & Biodiversity, Health & Disease
Mycobacterium tuberculosis VapC4 toxin engages small ORFs to initiate an integrated oxidative and copper stress response	2021	Proceedings of the National Academy of Sciences	Bacteria, Virus, Pathogen	Functional analysis	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Selection for nonspecific adhesion is a driver of FimH evolution increasing Escherichia coli biofilm capacity	2021	microLife	Bacteria, Pathogen	Isolate, Interactome		Ecosystem Dynamics & Biodiversity, Health & Disease
Peptidomics and proteogenomics: background, challenges and future needs	2021	Expert Review of Proteomics	Pathogen	Gene identification / Biomarker	(Meta)genomics	Health & Disease
CRISPR/Cas9 screen for genome-wide interrogation of essential MYC binding sites in cancer cells	2021	bioRxiv	Pathogen	Functional analysis	(Meta)genomics	Health & Disease
Draft Genome Sequence of the Mucin Degrader Clostridium tertium WC0709	2021	Microbiology Resource Announcements	Bacteria	Comparative analysis	(Meta)genomics	
The “Bipartite” Structure of the First Genome of Ampelomyces quisqualis, a Common Hyperparasite and Biocontrol Agent of Powdery Mildews, May Point to Its Evolutionary Origin from Plant Pathogenic Fungi	2021	Genome Biology and Evolution	Pathogen	Community (taxonomy) profiling, Interactome, MAGs, Annotation	(Meta)genomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Lytic Polysaccharide Monooxygenases as Chitin-Specific Virulence Factors in Crayfish Plague	2021	Biomolecules	Pathogen	Interactome		Ecosystem Dynamics & Biodiversity, Health & Disease
Production, Storage Stability, and Susceptibility Testing of Reuterin and Its Impact on the Murine Fecal Microbiome and Volatile Organic Compound Profile	2021	Frontiers in Microbiology	Bacteria, Microbiome	Community (taxonomy) profiling, AMR	Metabarcoding	Ecosystem Dynamics & Biodiversity, Health & Disease
The Potential Role of Clinical Metagenomics in Infectious Diseases: Therapeutic Perspectives	2021	Drugs	Bacteria	AMR	(Meta)genomics, Metagenomics	Health & Disease
Carbon nanotube biocompatibility in plants is determined by their surface chemistry	2021	Journal of Nanobiotechnology		Community (taxonomy) profiling, Functional analysis, Interactome, Variant	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity, Health & Disease
Transcriptome-wide in vivo mapping of cleavage sites for the compact cyanobacterial ribonuclease E reveals insights into its function and substrate recognition	2021	Nucleic Acids Research	Bacteria	Functional analysis	(Meta)transcriptomics	Ecosystem Dynamics & Biodiversity
Repeated exposure of nosocomial pathogens to silver does not select for silver resistance but does impact ciprofloxacin susceptibility.	2021	Acta biomaterialia	Pathogen	AMR		Health & Disease
Mechanisms Involved in the Active Secretion of CTX-M-15 β-Lactamase by Pathogenic Escherichia coli ST131	2021	Antimicrobial Agents and Chemotherapy	Pathogen			Health & Disease
