Galaxy wrapper id,Total tool usage (usegalaxy.eu),No. of tool users (2022-2023) (usegalaxy.eu),Galaxy tool ids,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version,https://usegalaxy.org,https://usegalaxy.org.au,https://usegalaxy.eu,Reviewed,To keep,EDAM operation low classes
jellyfish,1138.0,91.0,jellyfish,"Jellyfish is a tool for fast, memory-efficient counting of k-mers in DNA",Jellyfish,Jellyfish,A command-line algorithm for counting k-mers in DNA sequence.,k-mer counting,"Sequence analysis, Genomics",To update,https://github.com/gmarcais/Jellyfish,Assembly,jellyfish,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/jellyfish,,kmer-jellyfish,2.3.0,(0/1),(1/1),(1/1),True,True,k-mer counting
kc-align,,,kc-align,Kc-Align custom tool,kc-align,kc-align,A fast and accurate tool for performing codon-aware multiple sequence alignments,Multiple sequence alignment,Mapping,Up-to-date,https://github.com/davebx/kc-align,Sequence Analysis,kc_align,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kc-align,1.0.2,kcalign,1.0.2,(1/1),(0/1),(1/1),True,True,Multiple sequence alignment
khmer,,,"khmer_abundance_distribution_single, khmer_abundance_distribution, khmer_count_median, khmer_partition, khmer_extract_partitions, khmer_filter_abundance, khmer_filter_below_abundance_cutoff, khmer_normalize_by_median","In-memory nucleotide sequence k-mer counting, filtering, graph traversal and more",khmer,khmer,"khmer is a set of command-line tools for working with DNA shotgun sequencing data from genomes, transcriptomes, metagenomes, and single cells. khmer can make de novo assemblies faster, and sometimes better. khmer can also identify (and fix) problems with shotgun data.","Standardisation and normalisation, De-novo assembly",Sequence assembly,Up-to-date,https://khmer.readthedocs.org/,"Assembly, Next Gen Mappers",khmer,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/khmer,3.0.0a3,khmer,3.0.0a3,(8/8),(8/8),(8/8),True,True,"Standardisation and normalisation, De-novo assembly"
kleborate,319.0,38.0,kleborate,Screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC),kleborate,Kleborate,"Genomic surveillance framework and global population structure for Klebsiella pneumoniae.Kleborate is a tool to screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC) for:.A manuscript describing the Kleborate software in full is currently in preparation. In the meantime, if you use Kleborate, please cite the preprint: Lam, MMC. et al. Genomic surveillance framework and global population structure for Klebsiella pneumoniae. bioRxiv (2020).","Multilocus sequence typing, Genome assembly, Virulence prediction","Public health and epidemiology, Metagenomics, Population genomics, Sequence assembly, Whole genome sequencing",Up-to-date,https://github.com/katholt/Kleborate/wiki,Metagenomics,kleborate,iuc,https://github.com/katholt/Kleborate,2.3.2,kleborate,2.3.2,(0/1),(0/1),(1/1),True,True,"Multilocus sequence typing, Genome assembly, Virulence prediction"
kofamscan,594.0,33.0,kofamscan,Gene function annotation tool based on KEGG Orthology and hidden Markov model,,,,,,Up-to-date,https://github.com/takaram/kofam_scan,Sequence Analysis,kofamscan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kofamscan,1.3.0,kofamscan,1.3.0,(0/1),(0/1),(1/1),True,True,
kraken_biom,1444.0,182.0,kraken_biom,Create BIOM-format tables (http://biom-format.org) from Kraken output (http://ccb.jhu.edu/software/kraken/),,,,,,Up-to-date,https://github.com/smdabdoub/kraken-biom,Metagenomics,kraken_biom,iuc,https://github.com/smdabdoub/kraken-biom,1.2.0,kraken-biom,1.2.0,(0/1),(1/1),(1/1),True,True,
kraken_taxonomy_report,2527.0,354.0,kraken_taxonomy_report,Kraken taxonomy report,,,,,,To update,https://github.com/blankenberg/Kraken-Taxonomy-Report,Metagenomics,kraken_taxonomy_report,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/kraken_taxonomy_report,0.0.3,biopython,1.70,(1/1),(0/1),(1/1),True,True,
krakentools,,,"krakentools_alpha_diversity, krakentools_beta_diversity, krakentools_combine_kreports, krakentools_extract_kraken_reads, krakentools_kreport2krona, krakentools_kreport2mpa",KrakenTools is a suite of scripts to be used alongside the Kraken,krakentools,KrakenTools,KrakenTools provides individual scripts to analyze Kraken/Kraken2/Bracken/KrakenUniq output files,"Visualisation, Aggregation","Taxonomy, Metagenomics",Up-to-date,https://github.com/jenniferlu717/KrakenTools,Metagenomics,krakentools,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/krakentools,1.2,krakentools,1.2,(1/6),(2/6),(6/6),True,True,"Visualisation, Aggregation"
krocus,,,krocus,Predict MLST directly from uncorrected long reads,,,,,,To update,https://github.com/quadram-institute-bioscience/krocus,Sequence Analysis,krocus,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/krocus,1.0.1,krocus,1.0.3,(0/1),(0/1),(0/1),True,True,
legsta,55.0,7.0,legsta,Performs in silico Legionella pneumophila sequence based typing.,,,,,,Up-to-date,https://github.com/tseemann/legsta,Sequence Analysis,legsta,iuc,https://github.com/tseemann/legsta,0.5.1,legsta,0.5.1,(0/1),(0/1),(1/1),True,True,
lineagespot,37.0,2.0,lineagespot,Identification of SARS-CoV-2 related metagenomic mutations based on a single (or a list of) variant(s) file(s),lineagespot,lineagespot,"Lineagespot is a framework written in R, and aims to identify and assign different SARS-CoV-2 lineages based on a single variant file (i.e., variant calling format).",Variant calling,"Metagenomics, Gene transcripts, Evolutionary biology, Sequencing, Genetic variation",To update,https://www.bioconductor.org/packages/release/bioc/html/lineagespot.html,"Metagenomics, Sequence Analysis",lineagespot,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/lineagespot,1.4.0,r-base,,(0/1),(0/1),(1/1),True,True,Variant calling
lorikeet,,,lorikeet_spoligotype,Tools for M. tuberculosis DNA fingerprinting (spoligotyping),,,,,,Up-to-date,https://github.com/AbeelLab/lorikeet,Sequence Analysis,lorikeet_spoligotype,iuc,https://github.com/AbeelLab/lorikeet,20,lorikeet,20,(0/1),(0/1),(1/1),True,True,
m6anet,3.0,,m6anet,m6anet to detect m6A RNA modifications from nanopore data,m6Anet,m6Anet,Detection of m6A from direct RNA sequencing using a Multiple Instance Learning framework.,"Quantification, Imputation, Gene expression profiling","RNA-Seq, Transcriptomics, RNA, Machine learning",Up-to-date,https://m6anet.readthedocs.io/en/latest,Sequence Analysis,m6anet,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/m6anet,2.1.0,m6anet,2.1.0,(0/1),(0/1),(1/1),True,True,"Quantification, Imputation, Gene expression profiling"
maaslin2,188.0,29.0,maaslin2,MaAsLin2 is comprehensive R package for efficiently determining multivariable association between microbial meta'omic features and clinical metadata.,,,,,,Up-to-date,http://huttenhower.sph.harvard.edu/maaslin,Metagenomics,maaslin2,iuc,https://github.com/biobakery/Maaslin2,0.99.12,maaslin2,0.99.12,(0/1),(0/1),(1/1),True,True,
maker,4950.0,419.0,"maker, maker_map_ids",MAKER is a portable and easily configurable genome annotation pipeline.Its purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.,maker,MAKER,Portable and easily configurable genome annotation pipeline. It’s purpose is to allow smaller eukaryotic and prokaryotic genome projects to independently annotate their genomes and to create genome databases.,Genome annotation,"Genomics, DNA, Sequence analysis",To update,http://www.yandell-lab.org/software/maker.html,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/maker,2.31.11,maker,3.01.03,(2/2),(2/2),(2/2),True,True,Genome annotation
mapseq,167.0,2.0,mapseq,fast and accurate sequence read classification tool designed to assign taxonomy and OTU classifications to ribosomal RNA sequences.,,,,,,To update,https://github.com/jfmrod/MAPseq,Metagenomics,mapseq,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mapseq,2.1.1,perl,,(0/1),(0/1),(1/1),True,True,
mash,1739.0,12.0,"mash_screen, mash_sketch",Fast genome and metagenome distance estimation using MinHash,mash,Mash,Fast genome and metagenome distance estimation using MinHash.,Sequence distance matrix generation,"Genomics, Metagenomics, Statistics and probability, Sequence analysis, DNA mutation",Up-to-date,https://github.com/marbl/Mash,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mash,2.3,mash,2.3,(2/2),(2/2),(2/2),True,True,Sequence distance matrix generation
maxbin2,2059.0,118.0,maxbin2,clusters metagenomic contigs into bins,maxbin,MaxBin,Software for binning assembled metagenomic sequences based on an Expectation-Maximization algorithm.,Sequence assembly,"Metagenomics, Sequence assembly, Microbiology",To update,https://downloads.jbei.org/data/microbial_communities/MaxBin/MaxBin.html,Metagenomics,maxbin2,mbernt,https://github.com/galaxyproject/tools-iuc/tree/master/tools/maxbin2/,,maxbin2,2.2.7,(1/1),(1/1),(1/1),True,True,Sequence assembly
mcl,29.0,10.0,mcl,"The Markov Cluster Algorithm, a cluster algorithm for graphs",mcl,MCL,MCL is a clustering algorithm widely used in bioinformatics and gaining traction in other fields.,"Clustering, Network analysis, Gene regulatory network analysis","Molecular interactions, pathways and networks",Up-to-date,https://micans.org/mcl/man/mcl.html,Sequence Analysis,mcl,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/mcl,22.282,mcl,22.282,(0/1),(0/1),(1/1),True,True,"Clustering, Network analysis, Gene regulatory network analysis"
medaka,,,"medaka_consensus, medaka_consensus_pipeline, medaka_snp, medaka_variant",Sequence correction provided by ONT Research,medaka,Medaka,medaka is a tool to create consensus sequences and variant calls from nanopore sequencing data. This task is performed using neural networks applied a pileup of individual sequencing reads against a draft assembly.,"Base-calling, Variant calling, Sequence assembly","Sequence assembly, Machine learning",To update,https://github.com/nanoporetech/medaka,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/medaka,1.7.2,medaka,1.11.3,(3/4),(3/4),(3/4),True,True,"Base-calling, Variant calling, Sequence assembly"
megahit,9530.0,548.0,megahit,An ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.,megahit,MEGAHIT,"Single node assembler for large and complex metagenomics NGS reads, such as soil. It makes use of succinct de Bruijn graph to achieve low memory usage, whereas its goal is not to make memory usage as low as possible.",Genome assembly,"Metagenomics, Sequencing, Ecology, Sequence assembly",Up-to-date,https://github.com/voutcn/megahit,"Sequence Analysis, Assembly, Metagenomics",megahit,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/megahit,1.2.9,megahit,1.2.9,(1/1),(1/1),(1/1),True,True,Genome assembly
megahit_contig2fastg,475.0,54.0,megahit_contig2fastg,A subprogram within the Megahit toolkit for converting contigs to assembly graphs (fastg),megahit,MEGAHIT,"Single node assembler for large and complex metagenomics NGS reads, such as soil. It makes use of succinct de Bruijn graph to achieve low memory usage, whereas its goal is not to make memory usage as low as possible.",Genome assembly,"Metagenomics, Sequencing, Ecology, Sequence assembly",To update,https://github.com/voutcn/megahit/blob/master/tools/toolkit.cpp,"Sequence Analysis, Assembly, Metagenomics",megahit_contig2fastg,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/megahit_contig2fastg,1.1.3,megahit,1.2.9,(1/1),(0/1),(1/1),True,True,Genome assembly
megan,,,"megan_blast2lca, megan_blast2rma, megan_daa2info, megan_daa2rma, megan_daa_meganizer, megan_read_extractor, megan_sam2rma","MEGAN Community Edition - Interactive exploration and analysis of large-scale microbiome sequencing data.  MEGAN is a tool for studying the taxonomic content of a set of DNA reads, typically collected in a metagenomics project.In a preprocessing step, a sequence alignment of all reads against a suitable database of reference DNA or proteinsequences must be performed to produce an input file for the program. MEGAN is suitable for DNA reads (metagenomedata), RNA reads (metatranscriptome data), peptide sequences (metaproteomics data) and, using a suitable synonymsfile that maps SILVA ids to taxon ids, for 16S rRNA data (amplicon sequencing).",megan,MEGAN,"Metagenome Analysis Software - MEGAN (MEtaGenome ANalyzer) is a new computer program that allows laptop analysis of large metagenomic datasets. In a preprocessing step, the set of DNA reads (or contigs) is compared against databases of known sequences using BLAST or another comparison tool. MEGAN can then be used to compute and interactively explore the taxonomical content of the dataset, employing the NCBI taxonomy to summarize and order the results.","Sequence analysis, Taxonomic classification",Sequence analysis,To update,https://github.com/husonlab/megan-ce,Sequence Analysis,megan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/megan,6.21.7,megan,6.24.20,(0/7),(0/7),(7/7),True,True,"Sequence analysis, Taxonomic classification"
meningotype,,,meningotype,Assign sequence type to N. meningitidis genome assemblies,,,,,,Up-to-date,https://github.com/MDU-PHL/meningotype,Sequence Analysis,meningotype,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/meningotype,0.8.5,meningotype,0.8.5,(0/1),(0/1),(0/1),True,True,
merqury,2483.0,244.0,merqury,Merqury is a tool for evaluating genomes assemblies based of k-mer operations.,merqury,Merqury,"Reference-free quality, completeness, and phasing assessment for genome assemblies.Evaluate genome assemblies with k-mers and more.Often, genome assembly projects have illumina whole genome sequencing reads available for the assembled individual.Merqury provides a set of tools for this purpose.","Genome assembly, k-mer counting, Scaffolding, Phasing, De-novo assembly","Sequence assembly, Whole genome sequencing, Plant biology",Up-to-date,https://github.com/marbl/merqury,Assembly,merqury,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/merqury,1.3,merqury,1.3,(1/1),(1/1),(1/1),True,True,"Genome assembly, k-mer counting, Scaffolding, Phasing, De-novo assembly"
meryl,6785.0,350.0,meryl,Meryl a k-mer counter.,meryl,Meryl,Meryl is a tool for counting and working with sets of k-mers that was originally developed for use in the Celera Assembler and has since been migrated and maintained as part of Canu.,k-mer counting,"Whole genome sequencing, Genomics, Sequence analysis, Sequencing",Up-to-date,https://github.com/marbl/meryl,Assembly,meryl,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/meryl,1.3,merqury,1.3,(1/1),(1/1),(1/1),True,True,k-mer counting
metabat2,4072.0,154.0,"metabat2_jgi_summarize_bam_contig_depths, metabat2",MetaBAT2 (Metagenome Binning based on Abundance and Tetranucleotide frequency) is an automated metagenome binningsoftware that integrates empirical probabilistic distances of genome abundance and tetranucleotide frequency.,MetaBAT_2,MetaBAT 2,"an adaptive binning algorithm for robust and efficient genome reconstruction from metagenome assemblies | MetaBAT2 clusters metagenomic contigs into different ""bins"", each of which should correspond to a putative genome | MetaBAT2 uses nucleotide composition information and source strain abundance (measured by depth-of-coverage by aligning the reads to the contigs) to perform binning","Read binning, Sequence assembly, Genome annotation","Metagenomics, Sequence assembly, Metagenomic sequencing",Up-to-date,https://bitbucket.org/berkeleylab/metabat/src/master/,Metagenomics,metabat2,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metabat2/,2.15,metabat2,2.15,(1/2),(1/2),(2/2),True,True,"Read binning, Sequence assembly, Genome annotation"
metaeuk,,,metaeuk_easy_predict,MetaEuk is a modular toolkit designed for large-scale gene discovery andannotation in eukaryotic metagenomic contigs. Metaeuk combines the fast andsensitive homology search capabilities of MMseqs2 with a dynamic programmingprocedure to recover optimal exons sets. It reduces redundancies in multiplediscoveries of the same gene and resolves conflicting gene predictions onthe same strand. ,MetaEuk,MetaEuk,"MetaEuk - sensitive, high-throughput gene discovery and annotation for large-scale eukaryotic metagenomics",Homology-based gene prediction,"Metagenomics, Gene and protein families",To update,https://github.com/soedinglab/metaeuk,"Sequence Analysis, Genome annotation",,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metaeuk,5.34c21f2,metaeuk,6.a5d39d9,(0/1),(0/1),(1/1),True,True,Homology-based gene prediction
metagenomeseq,,,metagenomeseq_normalizaton,metagenomeSeq Normalization,metagenomeseq,metagenomeSeq,"Designed to determine features (be it Operational Taxanomic Unit (OTU), species, etc.) that are differentially abundant between two or more groups of multiple samples. It is designed to address the effects of both normalization and under-sampling of microbial communities on disease association detection and the testing of feature correlations.","Sequence visualisation, Statistical calculation","Metagenomics, Sequencing",To update,,Metagenomics,metagenomeseq_normalization,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metagenomeseq,1.16.0-0.0.1,bioconductor-metagenomeseq,1.43.0,(1/1),(0/1),(1/1),True,True,"Sequence visualisation, Statistical calculation"
metaphlan,10507.0,427.0,"customize_metaphlan_database, extract_metaphlan_database, merge_metaphlan_tables, metaphlan",MetaPhlAn for Metagenomic Phylogenetic Analysis,metaphlan,MetaPhlAn,Computational tool for profiling the composition of microbial communities from metagenomic shotgun sequencing data.,"Nucleic acid sequence analysis, Phylogenetic tree analysis","Metagenomics, Phylogenomics",Up-to-date,https://github.com/biobakery/MetaPhlAn,Metagenomics,metaphlan,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/metaphlan/,4.0.6,metaphlan,4.0.6,(1/4),(2/4),(4/4),True,True,"Nucleic acid sequence analysis, Phylogenetic tree analysis"
minia,2206.0,109.0,minia,Short-read assembler based on a de Bruijn graph,minia,Minia,"Short-read assembler based on a de Bruijn graph, capable of assembling a human genome on a desktop computer in a day.",Genome assembly,Sequence assembly,Up-to-date,https://gatb.inria.fr/software/minia/,Assembly,minia,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/minia,3.2.6,minia,3.2.6,(0/1),(1/1),(1/1),True,True,Genome assembly
miniasm,11938.0,178.0,miniasm,Miniasm - Ultrafast de novo assembly for long noisy reads (though having no consensus step),,,,,,To update,https://github.com/lh3/miniasm,Assembly,miniasm,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/miniasm,0.3_r179,miniasm,0.3,(1/1),(1/1),(1/1),True,True,
miniprot,813.0,15.0,"miniprot, miniprot_index","Align a protein sequence against a genome with affine gap penalty, splicing and frameshift.",,,,,,Up-to-date,https://github.com/lh3/miniprot,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/miniprot,0.12,miniprot,0.12,(0/2),(0/2),(2/2),True,True,
mitos,32022.0,58.0,"mitos, mitos2",de-novo annotation of metazoan mitochondrial genomes,mitos,MITOS,De novo metazoan mitochondrial genome annotation.,Genome annotation,"Zoology, Whole genome sequencing",To update,http://mitos.bioinf.uni-leipzig.de/,Sequence Analysis,mitos,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mitos,1.1.5,mitos,2.1.7,(1/2),(1/2),(2/2),True,True,Genome annotation
mlst,9304.0,635.0,"mlst, mlst_list",Scan contig files against PubMLST typing schemes,mlst,MLST,Multi Locus Sequence Typing from an assembled genome or from a set of reads.,Taxonomic classification,"Immunoproteins, genes and antigens",To update,https://github.com/tseemann/mlst,Sequence Analysis,mlst,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mlst,2.22.0,mlst,2.23.0,(2/2),(2/2),(2/2),True,True,Taxonomic classification
mothur,,,"mothur_align_check, mothur_align_seqs, mothur_amova, mothur_anosim, mothur_bin_seqs, mothur_biom_info, mothur_chimera_bellerophon, mothur_chimera_ccode, mothur_chimera_check, mothur_chimera_perseus, mothur_chimera_pintail, mothur_chimera_slayer, mothur_chimera_uchime, mothur_chimera_vsearch, mothur_chop_seqs, mothur_classify_otu, mothur_classify_seqs, mothur_classify_tree, mothur_clearcut, mothur_cluster_classic, mothur_cluster_fragments, mothur_cluster_split, mothur_cluster, mothur_collect_shared, mothur_collect_single, mothur_consensus_seqs, mothur_cooccurrence, mothur_corr_axes, mothur_count_groups, mothur_count_seqs, mothur_create_database, mothur_degap_seqs, mothur_deunique_seqs, mothur_deunique_tree, mothur_dist_seqs, mothur_dist_shared, mothur_fastq_info, mothur_filter_seqs, mothur_filter_shared, mothur_get_communitytype, mothur_get_coremicrobiome, mothur_get_dists, mothur_get_group, mothur_get_groups, mothur_get_label, mothur_get_lineage, mothur_get_mimarkspackage, mothur_get_otulabels, mothur_get_otulist, mothur_get_oturep, mothur_get_otus, mothur_get_rabund, mothur_get_relabund, mothur_get_sabund, mothur_get_seqs, mothur_get_sharedseqs, mothur_heatmap_bin, mothur_heatmap_sim, mothur_homova, mothur_indicator, mothur_lefse, mothur_libshuff, mothur_list_otulabels, mothur_list_seqs, mothur_make_biom, mothur_make_contigs, mothur_make_design, mothur_make_fastq, mothur_make_group, mothur_make_lefse, mothur_make_lookup, mothur_make_shared, mothur_make_sra, mothur_mantel, mothur_merge_count, mothur_merge_files, mothur_merge_groups, mothur_merge_sfffiles, mothur_merge_taxsummary, mothur_metastats, mothur_mimarks_attributes, mothur_nmds, mothur_normalize_shared, mothur_otu_association, mothur_otu_hierarchy, mothur_pairwise_seqs, mothur_parse_list, mothur_parsimony, mothur_pca, mothur_pcoa, mothur_pcr_seqs, mothur_phylo_diversity, mothur_phylotype, mothur_pre_cluster, mothur_primer_design, mothur_rarefaction_shared, mothur_rarefaction_single, mothur_remove_dists, mothur_remove_groups, mothur_remove_lineage, mothur_remove_otulabels, mothur_remove_otus, mothur_remove_rare, mothur_remove_seqs, mothur_rename_seqs, mothur_reverse_seqs, mothur_screen_seqs, mothur_sens_spec, mothur_seq_error, mothur_sffinfo, mothur_shhh_flows, mothur_shhh_seqs, mothur_sort_seqs, mothur_split_abund, mothur_split_groups, mothur_sub_sample, mothur_summary_qual, mothur_summary_seqs, mothur_summary_shared, mothur_summary_single, mothur_summary_tax, mothur_taxonomy_to_krona, mothur_tree_shared, mothur_trim_flows, mothur_trim_seqs, mothur_unifrac_unweighted, mothur_unifrac_weighted, mothur_unique_seqs, mothur_venn",Mothur wrappers,mothur,mothur,"Open-source, platform-independent, community-supported software for describing and comparing microbial communities","DNA barcoding, Sequencing quality control, Sequence clustering, Taxonomic classification, Visualisation, Sequence read processing, Phylogenetic analysis","Microbial ecology, Taxonomy, Sequence analysis, Phylogeny",To update,https://www.mothur.org,Metagenomics,mothur,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mothur,1.0,mothur,1.48.0,(129/129),(129/129),(129/129),True,True,"DNA barcoding, Sequencing quality control, Sequence clustering, Taxonomic classification, Visualisation, Sequence read processing, Phylogenetic analysis"
multigsea,53.0,2.0,multigsea,GSEA-based pathway enrichment analysis for multi-omics data,multiGSEA,multiGSEA,"A GSEA-based pathway enrichment analysis for multi-omics data.multiGSEA: a GSEA-based pathway enrichment analysis for multi-omics data, BMC Bioinformatics 21, 561 (2020).Combining GSEA-based pathway enrichment with multi omics data integration.","Gene-set enrichment analysis, Aggregation, Pathway analysis","Metabolomics, Molecular interactions, pathways and networks, Proteomics, Transcriptomics, Small molecules",To update,https://bioconductor.org/packages/devel/bioc/html/multiGSEA.html,"Transcriptomics, Proteomics, Statistics",multigsea,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/multigsea,1.8.0,bioconductor-multigsea,1.12.0,(0/1),(0/1),(1/1),True,True,"Gene-set enrichment analysis, Aggregation, Pathway analysis"
multiqc,162790.0,8320.0,multiqc,MultiQC aggregates results from bioinformatics analyses across many samples into a single report,multiqc,MultiQC,"MultiQC aggregates results from multiple bioinformatics analyses across many samples into a single report. It searches a given directory for analysis logs and compiles a HTML report. It's a general use tool, perfect for summarising the output from numerous bioinformatics tools.",Validation,"Sequencing, Bioinformatics",To update,http://multiqc.info/,"Fastq Manipulation, Statistics, Visualization",multiqc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/multiqc,1.11,multiqc,1.19,(1/1),(1/1),(1/1),True,True,Validation
mykrobe,,,mykrobe_predict,Antibiotic resistance predictions,Mykrobe,Mykrobe,"Antibiotic resistance prediction for Mycobacterium tuberculosis from genome sequence data with Mykrobe.Antibiotic resistance prediction in minutes.Table of Contents generated with DocToc.AMR prediction (Mykrobe predictor).Before attempting to install with bioconda, please ensure you have your channels set up as specified in the documentation. If you don't, you may run into issues with an older version of mykrobe being installed","Antimicrobial resistance prediction, Variant calling, Genotyping, Sequence trimming","Whole genome sequencing, Genotype and phenotype, Probes and primers, Genetic variation, Metagenomics",To update,https://github.com/Mykrobe-tools/mykrobe,Sequence Analysis,mykrobe,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/mykrobe,0.10.0,mykrobe,0.13.0,(0/1),(0/1),(0/1),True,True,"Antimicrobial resistance prediction, Variant calling, Genotyping, Sequence trimming"
nanocompore,,,"nanocompore_db, nanocompore_sampcomp","Nanocompore compares 2 ONT nanopore direct RNA sequencing datasets from different experimental conditions expected to have a significant impact on RNA modifications. It is recommended to have at least 2 replicates per condition. For example one can use a control condition with a significantly reduced number of modifications such as a cell line for which a modification writing enzyme was knocked-down or knocked-out. Alternatively, on a smaller scale transcripts of interests could be synthesized in-vitro.",Nanocompore,Nanocompore,"RNA modifications detection by comparative Nanopore direct RNA sequencing.RNA modifications detection from Nanopore dRNA-Seq data.Nanocompore identifies differences in ONT nanopore sequencing raw signal corresponding to RNA modifications by comparing 2 samples.Analyses performed for the nanocompore paper.Nanocompore compares 2 ONT nanopore direct RNA sequencing datasets from different experimental conditions expected to have a significant impact on RNA modifications. It is recommended to have at least 2 replicates per condition. For example one can use a control condition with a significantly reduced number of modifications such as a cell line for which a modification writing enzyme was knocked-down or knocked-out. Alternatively, on a smaller scale transcripts of interests could be synthesized in-vitro","Post-translation modification site prediction, PolyA signal detection, Genotyping, k-mer counting","Functional, regulatory and non-coding RNA, RNA-Seq, Gene transcripts, Transcriptomics, Transcription factors and regulatory sites",To update,https://nanocompore.rna.rocks/,Sequence Analysis,nanocompore,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanocompore,1.0.0rc3.post2,nanocompore,1.0.4,(0/2),(1/2),(2/2),True,True,"Post-translation modification site prediction, PolyA signal detection, Genotyping, k-mer counting"
nanoplot,63235.0,2195.0,nanoplot,Plotting tool for long read sequencing data and alignments,,,,,,To update,https://github.com/wdecoster/NanoPlot,Visualization,nanoplot,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanoplot/,1.41.0,nanoplot,1.42.0,(1/1),(1/1),(1/1),True,True,
nanopolishcomp,,,"nanopolishcomp_eventaligncollapse, nanopolishcomp_freqmethcalculate",NanopolishComp contains 2 modules. Eventalign_collapse collapses the raw file generated by nanopolish eventalign by kmers rather than by event. Freq_meth_calculate methylation frequency at genomic CpG sites from the output of nanopolish call-methylation.,,,,,,To update,https://a-slide.github.io/NanopolishComp,Sequence Analysis,nanopolishcomp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nanopolishcomp,0.6.11,nanopolishcomp,0.6.12,(0/2),(0/2),(2/2),True,True,
newick_utils,25505.0,448.0,newick_display,Perform operations on Newick trees,newick_utilities,Newick Utilities,"The Newick Utilities are a set of command-line tools for processing phylogenetic trees. They can process arbitrarily large amounts of data and do not require user interaction, which makes them suitable for automating phylogeny processing tasks.","Phylogenetic tree generation, Phylogenetic tree analysis, Phylogenetic tree reconstruction","Phylogeny, Genomics, Computer science",To update,http://cegg.unige.ch/newick_utils,"Visualization, Metagenomics",newick_utils,iuc,https://github.com/tjunier/newick_utils,1.6+galaxy1,newick_utils,1.6,(1/1),(1/1),(1/1),True,True,"Phylogenetic tree generation, Phylogenetic tree analysis, Phylogenetic tree reconstruction"
nextclade,3527.0,169.0,"nextalign, nextclade",Identify differences between your sequences and a reference sequence used by Nextstrain,,,,,,To update,https://github.com/nextstrain/nextclade,Sequence Analysis,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nextclade,2.7.0,nextalign,2.14.0,(1/2),(1/2),(2/2),True,True,
nonpareil,142.0,5.0,nonpareil,Estimate average coverage in metagenomic datasets,,,,,,To update,http://nonpareil.readthedocs.io,Metagenomics,nonpareil,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nonpareil,3.1.1,nonpareil,3.4.1,(1/1),(0/1),(1/1),True,True,
