Galaxy wrapper id	Description	To keep	Deprecated
multigsea	GSEA-based pathway enrichment analysis for multi-omics data		
multiqc	MultiQC aggregates results from bioinformatics analyses across many samples into a single report		
multispecies_orthologous_microsats	Extract orthologous microsatellites		
mummer	Draw dotplots using mummer, mucmer, or promer with mummerplot		
mummer4	Mummer4 Tools		
music_deconvolution	Multi-subject Single Cell deconvolution (MuSiC)		
mutate_snp_codon	Mutate Codons with SNPs		
mutational_patterns	Mutational patterns and signatures in base substitution catalogs		
mykrobe	Antibiotic resistance predictions		
mykrobe_parser	RScript to parse the results of mykrobe predictor.		
mz_to_sqlite	Creates a SQLite database for proteomics data		
mzmine	mass-spectrometry data processing, with the main focus on LC-MS data		
mzml_validator	mzML Validator checks if mzML file validates against XML Schema Definition of HUPO Proteomics Standard Initiative.		
mzxmlshaper	Convert mzML, mzXML or netCDF files to mzML or mzXML		
naltorfs	nAlt-ORFs: Nested Alternate Open Reading Frames (nAltORFs)		
nanocompore	Nanocompore compares 2 ONT nanopore direct RNA sequencing datasets from different experimental conditions expected to have a significant impact on RNA modifications. It is recommended to have at least 2 replicates per condition. For example one can use a control condition with a significantly reduced number of modifications such as a cell line for which a modification writing enzyme was knocked-down or knocked-out. Alternatively, on a smaller scale transcripts of interests could be synthesized in-vitro.		
nanoplot	Plotting tool for long read sequencing data and alignments		
nanopolish	Nanopolish software package for signal-level analysis of Oxford Nanopore sequencing data.		
nanopolishcomp	NanopolishComp contains 2 modules. Eventalign_collapse collapses the raw file generated by nanopolish eventalign by kmers rather than by event. Freq_meth_calculate methylation frequency at genomic CpG sites from the output of nanopolish call-methylation.		
nastiseq	A method to identify cis-NATs using ssRNA-seq		
ncbi_acc_download	Download sequences from GenBank/RefSeq by accession through the NCBI ENTREZ API		
ncbi_blast_plus	NCBI BLAST+		
ncbi_datasets	NCBI datasets downloads biological sequence data across all domains of life from NCBI.		
ncbi_egapx	Eukaryotic Genome Annotation Pipeline - External (EGAPx)		
ncbi_entrez_direct	NCBI Entrez Direct allow fetching data from NCBI Databases		
ncbi_entrez_eutils	NCBI Entrez E-Utilties allow fetching data from NCBI Databases		
ncbi_fcs_adaptor	FCS-adaptor detects adaptor and vector contamination in genome sequences.		
ncbi_fcs_gx	FCS-GX detects contamination from foreign organisms in genome sequences using the genome cross-species aligner (GX).		
necat	Error correction and de-novo assembly for ONT Nanopore reads		
netboxr	netboxr enables automated discovery of biological process modules by network analysis		
newick_utils	Perform operations on Newick trees		
nextclade	Identify differences between your sequences and a reference sequence used by Nextstrain		
nextdenovo	String graph-based de novo assembler for long reads		
ngmlr	CoNvex Gap-cost alignMents for Long Reads		
ngsutils	NGSUtils is a suite of software tools for working with next-generation sequencing datasets.Starting in 2009, we (Liu Lab @ Indiana University School of Medicine) starting working withnext-generation sequencing data. We initially started doing custom coding for each project in a one-off manner.It quickly became apparent that this was an inefficient manner to work, so we started assembling smallerutilities that could be adapted into larger, more complicated, workflows. We have used them for Illumia,SOLiD, 454, Ion Torrent, and Pac Bio sequencing data. We have used them for DNA and RNA resequcing,ChIP-Seq, CLIP-Seq, and targeted resequencing (Agilent exome capture and PCR targeting).These tools are also used heavily in our in-house DNA and RNA mapping pipelines.NGSUtils is made up of 50+ programs, mainly written in Python.These are separated into modules based on the type of file that is to be analyzed.		
nlstradamus	Find nuclear localization signals (NLSs) in protein sequences		
nmr_annotation	[Metabolomics][W4M][NMR] NMR Annotation - Annotation of complex mixture NMR spectra and metabolite proportion estimation		
nmr_annotation2d	[Metabolomics][W4M][NMR] NMR Annotation2D - Automatic annotation of bi-dimensional NMR spectra		
nmr_preprocessing	[Metabolomics][W4M][NMR] NMR Preprocessing - Preprocessing of 1D NMR spectra from FID to baseline correction		
nonpareil	Estimate average coverage in metagenomic datasets		
normalization	[Metabolomics][W4M][ALL] Normalization (operation applied on each individual spectrum) of preprocessed data		
novoplasty	NOVOPlasty is a de novo assembler and heteroplasmy/variance caller for short circular genomes.		
nucleosome_prediction	Prediction of Nucleosomes Positions on the Genome		
nugen_nudup	Marks/removes PCR introduced duplicate molecules based on the molecular tagging technology used in NuGEN products.		
numeric_clustering	Clustering tool for numberic values		
oases	Short read assembler		
obisindicators	Compute biodiveristy indicators for marine data from obis		
obitools	OBITools is a set of programs developed to simplify the manipulation of sequence files		
ocean	Access, process, visualise oceanographic data for the Earth System		
ococo	Variant detection of SNVs		
odgi	Representing large genomic variation graphs with minimal memory overhead requires a careful encoding of the graph entities. odgi follows the dynamic GBWT in developing a byte-packed version of the graph and paths through it.		
ogcProcess_otb_bandmath	Outputs a monoband image which is the result of a mathematical operation on several multi-band images.		
ogcProcess_otb_meanShiftSmoothing	This application smooths an image using the MeanShift algorithm.		
omark	Proteome quality assessment software		
omero	Import images, region of interest, metadata into an OMERO.server using omero-py		
omero_clean_rois_tables	Remove all ROIs and all tables on OMERO associated to an omero object and recursively up and down		
omero_get_children_ids	Get omero id of children of an omero object id		
omero_get_full_images	Get full images from omero		
omero_hyperstack_to_fluo_measurements_on_gastruloid	Analyse Hyperstack on OMERO server to measure fluorescence levels		
omero_hyperstack_to_gastruloid_measurements	Analyse Hyperstack on OMERO server to segment gastruloid and compute measurements		
ont_fast5_api	ont_fast5_api is a simple interface to HDF5 files of the Oxford Nanopore FAST5 file format.		
onto_toolkit	ONTO-Toolkit is a collection of tools for managing ontologies.		
openlabcds2csv	"Creates a summary of several ""Internal Standard Report"" OpenLabCDS results."		
openmm	OpenMM is a toolkit for molecular simulation using high performance GPU code.		
openms	OpenMS Suite for LC/MS data management and analyses		
openms	OpenMS in version 2.1.		
optdoe	Optimal Design Of Experiment		
optitype	Precision HLA typing from NGS data		
orfipy	Galaxy wrapper for ORFIPY		
orientationpy	Compute image orientation		
orthofinder	Accurate inference of orthologous gene groups made easy		
overlay_images	Overlay two images		
packaged_annotation_loader	Tool to make cached genome annotation data available as a list of datasets collection		
packmol	PACKMOL is a package for creating starting structures for Molecular Dynamics simulations		
pacu	PACU is a workflow for whole genome sequencing based phylogeny of Illumina and ONT R9/R10 data.		
pairtools	Flexible tools for Hi-C data processing		
pandas_rolling_window	Rolling window calculations		
pangolin	Pangolin assigns SARS-CoV-2 genome sequences their most likely lineages under the Pango nomenclature system.		
pangolin	Phylogenetic Assignment of Named Global Outbreak LINeages		
paralyzer	A method to generate a high resolution map of interaction sites between RNA-binding proteins and their targets.		
parse_mito_blast	Filtering blast out from querying assembly against mitochondrial database.		
partialr_square	Compute partial R square		
pathifier	pathifier		
pathview	Pathview is a tool set for pathway based data integration and visualization.		
pathwaymatcher	Reactome Pathway Matcher		
patrist	Extract Patristic Distance From a Tree		
pbgcpp	Compute genomic consensus and call variants using PacBio reads mapped to a reference		
pbmm2	A minimap2 SMRT wrapper for PacBio data.		
pbtk	Convert PacBio Bam File to fasta or fastq file		
pe_histogram	Contains a tool that produces an insert size histogram for a paired-end BAM file.		
peakachu	PEAKachu is a peak-caller for CLIP- and RIP-Seq data		
peakzilla	Peakzilla identifies sites of enrichment and transcription factor binding sites from ChIP-seq and ChIP-exo experiments.		
pear	PEAR evaluates all possible paired-end read overlaps		
pearson_correlation	Pearson and apos Correlation between any two numeric columns		
pep_pointer	PepPointer categorizes peptides by their genomic coordinates.		
pepquery	A peptide-centric MS search engine for novel peptide identification and validation.		
pepquery2	PepQuery2 peptide-centric MS search for peptide identification and validation		
peptide_genomic_coordinate	Gets genomic coordinate of peptides based on the information in mzsqlite and genomic mapping sqlite files		
peptideshaker	PeptideShaker and SearchGUI		
peptimapper	Proteogenomics workflow for the expert annotation of eukaryotic genomes		
pepxml_to_xls	Convert PepXML to Tabular		
percolator	Percolator		
perf	suitable for boolean classification problems		
permutate_axis	Permutates axes		
pfamscan	Search a FASTA sequence against a library of Pfam HMM.		
pg_tools	tool suite for dealing with Postgresql databases from Galaxy's history		
pgsnp2gd_snp	Convert from pgSnp to gd_snp		
pharmcat	Pharmacogenomics Clinical Annotation Tool		
pharokka	rapid standardised annotation tool for bacteriophage genomes and metagenomes		
phyloseq	Handling and analysis of high-throughput microbiome census data		
phyml	PhyML is a phylogeny software based on the maximum-likelihood principle.		
physiofit	PhysioFit is a scientific tool designed to quantify cell growth parameters and uptake & production fluxes		
physiofit_manager	Handling of physiofit input files		
pi_db_tools	HiRIEF tools		
picard	Picard SAM/BAM manipulation tools.		
pick_value	Compose a text parameter value using text, integer and float values		
picrust	PICRUSt wrappers		
picrust2	PICRUSt2: Phylogenetic Investigation of Communities by Reconstruction of Unobserved States		
pileup_interval	Pileup-to-Interval condenses pileup format into ranges of bases		
pileup_parser	Filter pileup on coverage and SNPs		
pilon	pilon is a tool for assembly improvement and variant analysis in bacteria		
pindel	Pindel detects genome-wide structural variation.		
pipelign	Multipe sequence alignment		
pipmir	A method to identify novel plant miRNA.		
piranha	Piranha is a peak-caller for CLIP- and RIP-Seq data		
pizzly	Pizzly is a program for detecting gene fusions from RNA-Seq data of cancer samples.		
plantseg	Tool for cell instance aware segmentation in densely packed 3D volumetric images		
plasflow	PlasFlow - Prediction of plasmid sequences in metagenomic contigs.		
plasmid_profiler	Explores plasmid content in WGS data		
plasmid_profiler_suite	Plasmid Profiler suite defining all dependencies for Plasmid Profiler		
plasmidfinder	"""PlasmidFinder provides the detection of replicons in the WGSand assigns the plasmids under study to lineages that trace backthe information to the existing knowledge on Inc groups and suggestspossible reference plasmids for each lineage"""		
plasmidspades	Genome assembler for assemblying plasmid		
platypus	efficient and accurate variant-detection in high-throughput sequencing data		
plink	Whole genome association analysis toolset, designed to perform a range of basic, large-scale analyses in a computationally efficient manner.		
plot_from_lda	"Draw ROC plot on ""Perform LDA"" output"		
plotheatmap	This tool can be used to plot heatmap of gene expression data. The genes are chosen based on p-value, FDR, log FC and log CPM from edgeR output.		
plotly_ml_performance_plots	performance plots for machine learning problems		
plotly_parallel_coordinates_plot	parallel coordinates plot produced with plotly		
plotly_regression_performance_plots	performance plots for regression problems		
pmd_fdr	Calculate Precursor Mass Discrepancy (PMD) for MS/MS		
pneumocat	Pneumococcal Capsular Typing of illumina fastq reads		
points2labelimage	Points to label image		
points_association_nn	Association of points in consecutive frames		
poisson2test	Poisson two-sample test		
polypolish	"""Polypolish is a tool for polishing genome assemblies with short reads.Polypolish uses SAM files where each read has been aligned to all possible locations (not just a single best location).This allows it to repair errors in repeat regions that other alignment-based polishers cannot fix."""		
porechop	Porechop - Finding and removing adapters from Oxford Nanopore reads		
poretools	A flexible toolkit for exploring datasets generated by nanopore sequencing devices from MinION for the purposes of quality control and downstream analysis.		
positions2snv_alignment	Generate alignment of SNVs from SNVPhyl variant table.		
positions2snv_invariant_alignment	Generate alignment of SNVs and non-variant positions from SNVPhyl variant table.		
predictnls	Python reimplementation of predictNLS for Galaxy		
presto	pRESTO toolkit for immune repertoire analysis.		
pretext	Process genome contacts maps processing images.		
principal_component_analysis	Principal Component Analysis		
prinseq	PRINSEQ is a tool for easy and rapid quality control and data processing of metagenomic and metatranscriptomic datasets		
probecoverage	computes and plots read coverage of genomic regions by sequencing datasets		
prodigal	A protein-coding gene prediction software tool for bacterial and archaeal genomes		
progressivemauve	Mauve/ProgressiveMauve Multiple Sequence Aligner		
projective_transformation	Projective transformation		
projective_transformation_points	Projective transformation of ROIs defined by pixel (point) coordinates		
prokka	Rapid annotation of prokaryotic genomes		
promer	Aligns two sets of contigs and reports amino acid substitutions between them		
prot-scriber	Protein annotation of short human readable descriptions		
protease_prediction	This tool can learn the cleavage specificity of a given class of proteases.		
protein_analysis	TMHMM, SignalP, Promoter, RXLR motifs, WoLF PSORT and PSORTb		
protein_properties	Calculation of various properties from given protein sequences		
proteinortho	Proteinortho is a tool to detect orthologous proteins/genes within different species.		
proteinpilot			
proteomiqon_joinquantpepionswithproteins	The tool JoinQuantPepIonsWithProteins combines results from ProteinInference and PSMBasedQuantification.		
proteomiqon_labeledproteinquantification	The tool LabeledProteinQuantification estimates protein abundances using quantified peptide ions.		
proteomiqon_labelfreeproteinquantification	The tool LabelFreeProteinQuantification estimates protein abundances using quantified peptide ions.		
proteomiqon_mzmltomzlite	The tool MzMLToMzLite allows to convert mzML files to mzLite files.		
proteomiqon_peptidedb	The tool ProteomIQon PeptideDB creates a peptide database in the SQLite format.		
proteomiqon_peptidespectrummatching	Given raw an MS run in the mzLite format, this tool iterates across all MS/MS scans, determines precursor charge states and possible peptide spectrum matches using reimplementations of SEQUEST,Andromeda and XTandem.		
proteomiqon_proteininference	MS-based shotgun proteomics estimates protein abundances using a proxy: peptides. The process of 'Protein Inference' is concerned with the mapping of identified peptides to the proteins they putatively originated from.		
proteomiqon_psmbasedquantification	The PSMBasedQuantification tool was designed to allow label-free quantification as well as quantification of full metabolic labeled samples.		
proteomiqon_psmstatistics	The PSMStatistics tool utilizes semi supervised machine learning techniques to integrate search engine scores as well as the mentioned quality scores into one single consensus score.		
proteore_venn_diagram	ProteoRE JVenn Diagram		
protxml_to_xls			
pseudogenome	Create a pseudogenome from a multiple fasta file either with a JCVI linker or custom length and characters.		
psiclass	PsiCLASS is a reference-based transcriptome assembler for single or multiple RNA-seq samples.		
psm2sam	PSM to SAM		
psm_eval			
psm_validation	Validate PSM from Ion Fragmentation		
psy-maps	Visualization of regular geographical data on a map with psyplot		
pureclip	PureCLIP is an HMM based peak caller specifically designed for eCLIP/iCLIP data		
purge_dups	Purge haplotigs and overlaps in an assembly based on read depth		
pycoqc	QC metrics for ONT Basecalling		
pyega3	EGA python client uses the EGA REST API to download authorized datasets and files.		
pygenometracks	pyGenomeTracks: Standalone program and library to plot beautiful genome browser tracks.		
pyprophet	Semi-supervised learning and scoring of OpenSWATH results.		
pyscenic	PySCENIC scripts based on usage at https://pyscenic.readthedocs.io/		
pysradb	pysradb allows to retrieve metadata, such as run accession numbers, from SRA and ENA based on multiple criteria.		
pyteomics	Tools using the pyteomics library		
pyvo_integration	Astronomical archives tools contains tools for querying and fetching resources from astronomical archives into Galaxy		
qcxms	QCxMS is a quantum chemical (QC) based program that enables users to calculate mass spectra (MS) using Born-Oppenheimer Molecular Dynamics (MD).		
qfilt	Filter sequencing data		
qiime_add_on	QIIME to perform microbial community analysis		
qiime_core	QIIME to perform microbial community analysis		
qiime_extract_viz	Extract vizualization from QIIME artifacts		
qq_tools			
qualimap	Qualimap 2 is a platform-independent application written in Java andR that facilitates the quality control of alignment sequencing data and itsderivatives like feature counts.		
quality_filter	Filter nucleotides based on quality scores		
quantp	Correlation between protein and transcript abundance		
quantwiz_iq	Isobaric Quantitation using QuantWiz-IQ		
quasitools	A collection of tools for analysing Viral Quasispecies		
quast	Quast (Quality ASsessment Tool) evaluates genome assemblies.		
query	Execute an SQL statement on a set of tables		
query_impc	Contains a tool to query the IMPC database.		
query_tabular	Loads tabular files into a SQLite DB to perform a SQL query producing a tabular output		
quickmerge	Merge long-read and hybrid assemblies to increase contiguity		
qupath_roi_splitter	Split ROI coordinates of QuPath TMA annotation by cell type		
rRNA	Identification of ribosomal RNA genes in metagenomic fragments.		
raceid	RaceID3, StemID2, FateID - scRNA analysis		
racon	Consensus module for raw de novo DNA assembly of long uncorrected reads.		
ragtag	Reference-guided scaffolding of draft genomes tool.		
ramclustr			
rapidnj	Galaxy wrapper for the RapidNJ tool		
rasusa	Randomly subsample sequencing reads to a specified coverage		
raven	Raven is a de novo genome assembler for long uncorrected reads.		
rawtools	Raw Tools		
raxml	RAxML - A Maximum Likelihood based phylogenetic inference		
rbpbench	Evaluate CLIP-seq and other genomic region data using a comprehensive collection of RBP binding motifs		
rcas	RCAS (RNA Centric Annotation System) for functional analysis of transcriptome-wide regions detected by high-throughput experiments		
rcorrector	Rcorrector (RNA-seq error CORRECTOR) is a kmer-based error correction method for RNA-seq data.		
rcve	Compute RCVE		
rcx-tk	Tools to process metadata or alkane files.		
rdock	Docking ligands to proteins and nucleic acids		
read_it_and_keep	Rapid decontamination of SARS-CoV-2 sequencing reads		
reago	Reago is tool to assembly 16S ribosomal RNA recovery from metagenomic data.		
recentrifuge	"""With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications.In addition to contamination-subtracted samples.Recentrifuge provides shared and exclusive taxa per sample,thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics."""		
recetox_aplcms	Peak detection tool for HRMS profile data.		
recetox_msfinder			
recetox_xmsannotator			
red	Red (REpeat Detector)		
refseq_masher	Find what genomes match or are contained within your sequence data using Mash_ and a Mash sketch database.		
regex_find_replace	Use python regular expressions to find and replace text		
regionalgam			
rem_complex	Removes molecular coordination complexes.		
remove_beginning	Remove lines from the beginning of a file.		
remurna	remuRNA - Measurement of Single Nucleotide Polymorphism induced Changes of RNA Conformation		
rename_annotated_feature	Update column names in an abundance table using a annotation table with spectral matching results		
repeat_channels	Convert single-channel to multi-channel image		
repeat_masker	RepeatMasker is a program that screens DNA sequences for interspersed repeats and low complexity DNA sequences.		
repeatexplorer2	Tool for annotation of repeats from unassembled shotgun reads.		
repeatmasker	RepeatMasker is a program that screens DNA sequences for interspersed repeats and low complexity DNA sequences.		
repeatmodeler	RepeatModeler - Model repetitive DNA		
repenrich	Repeat element profiling		
repenrich2	Repeat element profiling using bowtie2 aligner		
replaceColumn	A tool to replace all column entries of a file given by values of a key-value file.		
replace_chromosome_names	Replace chromosome names		
repmatch_gff3	Contains a tool that matches corresponding peak-pair midpoints from separate datasets based onuser-defined criteria.		
reshape2	Flexibly restructure and aggregate data using just the two functions melt and dcast		
resize_coordinate_window	Contains a tool that modifies the start and stop coordinates of GFF data, expanding the coordinate windowby a specified size.		
rest_tool	This tool fetches data from pubchem via the PubChem REST API.		
retip			
retrieve_bold	Search a list of sequences in BOLD (Barcode of Life Data System) from specified taxa list and markers		
retrieve_ensembl_bed	Retrieve cDNA features from Ensembl REST API in BED format		
revertR2orientationInBam	Revert the mapped orientation of R2 mates in a bam.		
revoluzer	revoluzer wrappers		
rfove	Perform segmentation region-based fitting of overlapping ellipses		
rgcca	multi-block analysis		
rgrnastar	RNA STAR is an ultra fast universal RNA and scRNA-seq aligner and mapper		
riassigner			
ribotaper	A method for defining traslated ORFs using Ribosome Profiling data.		
ribowaltz	Calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data		
rmap	RMAP for Solexa Short Reads Alignment		
rmapq	RMAPQ for Solexa Short Reads Alignment with Quality Scores		
rmassbank	RMassBank is an R package for processing tandem MS files and building of MassBank records.		
rna_shapes	Compute secondary structures of RNA		
rnabob	Fast pattern searching for RNA structural motifs		
rnacode	Analyze the protein coding potential in MSA		
rnacommender	RNAcommender is a tool for genome-wide recommendation of RNA-protein interactions.		
rnaformer	RNAformer: RNA secondary structure prediction		
rnalien	RNAlien unsupervized RNA family model construction		
rnaquast	rnaQuast (RNA Quality Assessment Tool) evaluates genome assemblies.		
rnasnp	RNAsnp Efficient detection of local RNA secondary structure changes induced by SNPs		
rnaz	RNAz is a program for predicting structurally conserved and thermodynamically stable RNA secondary structures in multiple sequence alignments.		
roary	Roary the pangenome pipeline		
rp2biosensor	Build Sensing-Enabling Metabolic Pathways from RetroPath2.0 output		
rp2paths	Enumerate and seperate the different pathways generated by RetroPath2.0		
rpbasicdesign	Extracting enzyme IDs from rpSBML files		
rpfba	Perform FBA for the RetroPath2.0 heterologous pathways		
rptools	Suite of tools that work on rpSBML format		
rrparser	Reaction Rules Parser		
rsat_filter_snps	Filter SNPs in RSAT Matrix Scan output		
rsem	transcript quantification from RNA-Seq data		
rseqc	an RNA-seq quality control package		
ruvseq	Remove Unwanted Variation from RNA-Seq Data		
sailfish	Sailfish is a tool for transcript quantification from RNA-seq data		
salmon	Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.		
salmon-kallisto-mtx-to-10x	Transforms .mtx matrix and associated labels into a format compatible with tools expecting old-style 10X data		
salsa2	A tool to scaffold long read assemblies with Hi-C		
sam2interval	Convert SAM to interval.		
sam_bitwise_flag_filter	Filter SAM on bitwise flag values		
sambamba	filter BAM/SAM on flags, fields, tags, and region, or down-sample, or slice BAM/SAM		
sambamba	Sambamba: process your BAM data faster!		
samblaster	samblaster marks duplicates and can output split and discordant alignments from SAM/BAM files		
sample_seqs	Sub-sample sequences files (e.g. to reduce coverage)		
samtools			
samtools_depad	Re-align a SAM/BAM file with a padded reference (using samtools depad)		
samtools_depth	Coverage depth via samtools		
samtools_idxstats	BAM mapping statistics (using samtools idxstats)		
sansa	Sansa is a tool for structural variant annotation.		
sarscov2formatter	sarscov2formatter custom script		
sarscov2summary	sarscov2summary custom script		
sashimi_plot	Generates a sashimi plot from bam files.		
sbml2sbol	Convert SBML to SBOL format		
sc3	De-composed SC3 functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-sc3-scripts and SC3 1.8.0.		
scaffold			
scale_image	Scale image		
scanpy	Scanpy – Single-Cell Analysis in Python		
scanpy	scanpy-scripts, command-line wrapper scripts around Scanpy.		
scater	Scater (Single-Cell Analysis Toolkit for gene Expression data in R) is acollection of tools for doing various analyses of single-cell RNA-seq geneexpression data, with a focus on quality control and visualization.		
scater	De-composed Scater functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-scater-scripts and Scater 1.8.4.		
scatterplot	Scatterplot of two numeric columns		
sccaf	SCCAF: Single Cell Clustering Assessment Framework.		
sceasy	Convert scRNA data object between popular formats		
sceasy	Converter between difference single-cell formats		
schicexplorer	scHiCExplorer: Set of programs to process, analyze and visualize scHi-C data.		
scikit-bio	scikit-bio: an open-source, BSD-licensed, python package providing data structures, algorithms, and educational resources for bioinformatics		
scmap	De-composed scmap functionality tools, based on https://github.com/ebi-gene-expression-group/scmap-cli and scmap 1.6.0.		
scoary	Scoary calculates the assocations between all genes in the accessory genome and the traits.		
scpipe	A flexible preprocessing pipeline for single-cell RNA-sequencing data		
scpred	De-composed scPred functionality tools, see https://github.com/ebi-gene-expression-group/scpred-cli and r-scPred 1.0		
scripting	suite_scripting		
sdmpredictors	Terrestrial and marine predictors for species distribution modelling.		
seacr	SEACR is intended to call peaks and enriched regions from sparse CUT&RUN or chromatin profiling data in which background is dominated by zeroes.		
sed	Manipulate your data with the sed command line tool.		
segalign	A Scalable GPU System for Pairwise Whole Genome Alignments based on LASTZ's seed-filter-extend paradigm.		
segemehl	segemehl - short read mapping with gaps		
segmetrics	Image segmentation and object detection performance measures		
selectsequencesfrommsa	SelectSequences - selects representative entries from a multiple sequence alignment in clustal format		
selenzy_wrapper	Performs enzyme selection from a reaction query.		
semibin	SemiBin: Semi-supervised Metagenomic Binning Using Siamese Neural Networks		
seq2hla	Precision HLA typing and expression from RNAseq data		
seq_composition	Sequence composition		
seq_filter_by_id	Filter sequences by ID		
seq_filter_by_mapping	Filter sequencing reads using SAM/BAM mapping files		
seq_length	Compute sequence length (from FASTA, QUAL, FASTQ, SFF, etc)		
seq_primer_clip	Trim off 5' or 3' primers		
seq_rename	Rename sequences with ID mapping from a tabular file		
seq_select_by_id	Select sequences by ID		
seqcomplexity	Sequence complexity for raw reads		
seqkit	A cross-platform and ultrafast toolkit for FASTA/Q file manipulation		
seqprep	Tool for merging paired-end Illumina reads and trimming adapters.		
seqsero2	Salmonella serotype prediction from genome sequencing data		
seqtk	Toolkit for processing sequences in FASTA/Q formats		
seqtk_nml	Tool to downsample fastq reads		
sequence_format_converter	various fasta to tabular conversions		
seqwish	Alignment to variation graph inducer		
seurat	De-composed Seurat functionality tools, based on https://github.com/ebi-gene-expression-group/r-seurat-scripts and Seurat 2.3.1		
seurat	Seurat - R toolkit for single cell genomics		
sgwb	SGWB		
shasta	Fast de novo assembly of long read sequencing data		
shift-longitudes	Shift longitudes ranging from 0. and 360 degrees to -180. and 180. degrees		
shorah	Reconstruct haplotypes using ShoRAH in amplicon mode		
short_reads_figure_high_quality_length	Histogram of high quality score reads		
short_reads_figure_score	Build base quality distribution		
short_reads_trim_seq	Select high quality segments		
shovill	Faster de novo assembly pipeline based around Spades		
show_beginning	Select lines from the beginning of a file.		
show_tail	Select lines from the end of a file.		
sicer	Statistical approach for the Identification of ChIP-Enriched Regions		
sickle	A windowed adaptive trimming tool for FASTQ files using quality		
simtext	A text mining framework for interactive analysis and visualization of similarities among biomedical entities.		
sina	SINA reference based multiple sequence alignment		
sinto	Sinto single-cell analysis tools		
sistr_cmd	SISTR in silico serotyping tool		
sixgill	Six-frame Genome-Inferred Libraries for LC-MS/MS		
sklearn	Machine Learning tool suite from Scikit-learn		
skyline2isocor	Converting skyline output to IsoCor input		
slamdunk	Slamdunk maps and quantifies SLAMseq reads		
sleuth	Sleuth is a program for differential analysis of RNA-Seq data.		
slice_image	Slice image		
small_rna_clusters	clusters small rna reads in alignment BAM files		
small_rna_maps	Generates small read maps from alignment BAM files		
small_rna_signatures	Computes the tendency of small RNAs to overlap with each other.		
smallgenomeutilities	Set of utilities for manipulating small viral genome data.		
smalt	SMALT aligns DNA sequencing reads with a reference genome.		
smart_domains	SMART domains		
smina	smina is a fork of Autodock Vina (http://vina.scripps.edu/) that focuses on improving scoring and minimization		
smithsonian-volcanoes	Retrieve data from Volcanoes of the World (VOTW) Database		
smudgeplot	Inference of ploidy and heterozygosity structure using whole genome sequencing		
snap	SNAP is a general purpose gene finding program suitable for both eukaryotic and prokaryotic genomes.		
snapatac2	SnapATAC2 – A Python/Rust package for single-cell epigenomics analysis		
sniffles	Galaxy wrapper for sniffles		
snipit	Summarise snps relative to a reference sequence		
snippy	Contains the snippy tool for characterising microbial snps		
snp-dists	Compute pairwise SNP distance matrix from a FASTA sequence alignment		
snp-sites	Finds SNP sites from a multi-FASTA alignment file		
snpeff	SnpEff is a genetic variant annotation and effect prediction toolbox		
snpeff-covid19	SnpEff, the COVID-19 version, is a genetic variant annotation and effect prediction toolbox		
snpfreq	snpFreq significant SNPs in case-control data		
snpfreqplot	A plotting app to visualise the SNPs across a region		
snpsift	snpEff SnpSift tools from Pablo Cingolani		
snpsift_dbnsfp	snpEff SnpSift dbnsfp tool from Pablo Cingolani		
snpsift_genesets	Annotate SnpEff vcf with genesets such as Gene Ontology (GO), KEGG, Reactome		
snv_matrix	Generate matrix of SNV distances		
snvtocnv	infer copy number variations from a vcf file with SNVs using R sequenza		
socru	Order and orientation of complete bacterial genomes		
sonneityping	Scripts for parsing Mykrobe predict results for Shigella sonnei.		
sortmerna	SortMeRNA is a software designed to rapidly filter ribosomal RNA fragments from metatransriptomic data produced by next-generation sequencers.		
spades	SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction.		
spades_header_fixer	Fixes Spades Fasta ids		
spaln	Spaln (space-efficient spliced alignment) maps and aligns a set of cDNA or protein sequences onto a whole genomic sequence.		
spapros	Select and evaluate probe sets for targeted spatial transcriptomics.		
spatyper	Determines SPA type based on repeats in a submitted staphylococcal protein A fasta file.		
spec2vec	Mass spectra similarity scoring using a trained Spec2Vec model.		
spectrast2spectrast_irt	Filter from spectraST files to swath input files		
spectrast2tsv	Filter from spectraST files to swath input files		
split_file_on_column	Split a file on a specific column.		
split_file_to_collection	Split tabular, MGF, FASTA, or FASTQ files to a dataset collection.		
split_labelmap	Split Labelmaps		
split_paired_reads	Split paired end reads		
splitfasta	Split a multi-sequence fasta file into files containing single sequences		
spocc	Get species occurences data		
spolpred	A program for predicting the spoligotype from raw sequence reads		
spot_detection_2d	Spot detection in 2D image sequence		
spotyping	SpoTyping allows fast and accurate in silico Mycobacterium spoligotyping from sequence reads		
spyboat	Wavelet analysis for 3d-image stacks		
sr_bowtie	bowtie wrapper tool to align small RNA sequencing reads		
sr_bowtie_dataset_annotation	Maps iteratively small RNA sequencing datasets to reference sequences.		
sra-tools	NCBI Sequence Read Archive toolkit utilities		
